container_id,cell_specimen_id,n_states,mean_leverage,role_flexibility,leverage_range,mean_activity,activity_flexibility
803516615,1086634453,2,0.6902747452692868,0.0019750390948611025,0.08888282387190682,0.0010975553304888,0.0019203601267095904
803516615,1086634506,3,0.5307100637841594,0.000468048005296853,0.050690545504956,0.0034864316694438,0.0019181655382064042
803516615,1086634571,3,0.20125624810683498,0.07084636656787055,0.5740705500580907,0.0005039860649654667,0.011067012194153765
803516615,1086634641,3,0.3963804301906741,0.0042343091486869615,0.1567157066611215,0.0005802384985144666,0.006796167450262332
803516615,1086634704,3,0.4246920831417646,0.0425922964074009,0.49743969640257846,0.0025299870176240333,0.006803989655885711
803516615,1086634758,2,0.3510150239134955,0.00021625173330791175,0.029411000207943405,0.0010485510574652999,0.027797275895609125
803516615,1086634868,3,0.06691874509419878,0.0005832908348594887,0.0581676860346585,0.00035230611198730006,4.382419970448343e-05
803516615,1086634931,2,0.40176621958827197,0.062490253031322114,0.49996101060511555,0.00193596578901625,0.027513426243931095
803516615,1086634998,3,0.6708430627970111,0.08486397390101359,0.6242592014971928,0.01732567946116127,0.0021748569659748476
803516615,1086635062,3,0.5695088703456758,0.031390839770972824,0.43050790185069665,0.008323677737886665,0.01665349932419795
803516615,1086635140,3,0.4065845231789104,0.04167587233047918,0.4934447738472017,0.010732234455645034,0.000958523214386975
803516615,1086635193,3,0.36396650467851543,0.035118930026664004,0.441133167741677,0.0021831626460576334,0.031061136345255064
803516615,1086635259,2,0.6254440458861856,0.018893266595200554,0.27490555902127956,0.0009442343143746001,0.015157962798152198
803516615,1086635303,3,0.7709088479615502,0.04265571932249709,0.4679637138698275,0.0045153661242996,0.04833203701090146
803516615,1086635388,2,0.054012851317897154,0.00012891606729704497,0.022708242318334106,0.0013940557837486,0.003991467485801393
803516615,1086635526,3,0.4019637963265021,0.014855564396829217,0.2878139898241256,0.002716899771864167,0.006413023303480626
803516615,1086635668,3,0.6825744590132036,0.027695445752079103,0.3735577500901407,0.0026897405041381,0.030304192994956958
803516615,1086635789,3,0.1108147890603521,0.003920955095350817,0.14271763951764752,0.0013882889179512331,0.05170933387829708
803516615,1086635885,3,0.062241554496972905,0.00120536527074493,0.0839960338127479,0.0006629103057396667,0.024082088630371756
803516615,1086635948,3,0.4277732654475373,0.012102437942025831,0.2471884314133223,0.0030484238329032665,0.0033247880804582277
803516615,1086636002,3,0.19245002362415523,0.02294683421552654,0.3705730940266816,0.0009742304294680333,6.469491768399973e-05
803516615,1086636079,3,0.5740566527168626,0.08659196274224758,0.7200082128119867,0.0026017896016127667,0.06289734676068663
803516615,1086636191,3,0.7046325468789513,0.015883740198833454,0.2888907091888743,0.0016248098108917,0.0038772592138270248
803516615,1086636314,3,0.23529209535128767,0.0017457747500550958,0.10200925348305262,0.0017192028462886333,0.014531800479294643
803516615,1086636377,2,0.26073521916411824,0.041837658284222354,0.4090851172273191,0.0011359572526998501,0.03129407112154722
803516615,1086636460,2,0.4543863426946036,0.00010126796585775458,0.020126397179600186,0.0008631369564682,0.000752146171883352
803516615,1086636605,3,0.4533189368006683,0.061559259315195514,0.5669597349643223,0.0011891430476680001,0.021924565182538925
803516615,1086637156,2,0.0363741444590068,0.00030712345575233796,0.035049876219601,0.0002682250742509278,0.00028581405711328915
803516615,1086638348,2,0.6713402868792777,0.054949774015634965,0.4688273627493812,0.00072144446312445,3.918722066864524e-06
803516615,1086638591,2,0.6089130988786952,0.06715481285251847,0.5182849133537208,0.0003784273212659,1.9848666383869388e-05
803516615,1086639088,2,0.15187019130796414,0.0005709232757488044,0.04778800166354749,0.00068471787380985,5.6668714970921345e-06
803516615,1086639262,2,0.3688115166008179,0.03656973577552389,0.3824643030429056,0.000976602663286,0.07235329025181163
803516615,1086639326,2,0.3808722360851182,0.0012112047550312689,0.06960473417897,0.00029261178860905,0.0011073885809329358
803516615,1086639430,2,0.22432115131350935,0.010874624729626624,0.2085629375476537,0.0001918018024298,4.747613083346364e-05
