observed,predicted
2.0,1.4808580277999197
1.0,1.3635038739326395
1.0,1.3921019253464153
0.0,0.7477123834570528
1.0,1.2548601967435673
3.0,1.302302202033636
2.0,1.4509941367939443
2.0,1.3377890163605428
0.0,1.2851361035748945
0.0,1.2625601386277534
0.0,1.2555204501281894
0.0,1.3171999550257467
1.0,1.4821842644316132
2.0,1.2684817091100156
2.0,1.4185850295715392
0.0,1.1300159482087166
1.0,1.4312611715884322
0.0,1.264034720075622
0.0,1.3728717018865324
1.0,0.8991470133408621
3.0,1.5430284129152203
3.0,1.4970033089470138
1.0,1.4564208925006714
0.0,1.1725613246410695
0.0,1.3874381005681111
2.0,1.3556647316049897
2.0,1.4035387764259226
1.0,1.2547680505546197
0.0,1.4132894831156206
1.0,1.3619280605051145
3.0,1.3094196583166755
2.0,1.157019793269081
1.0,1.2973190924287852
3.0,1.2913634917421453
1.0,1.443687887596781
2.0,1.5508885788695392
1.0,1.374195282869426
3.0,1.421885644790583
2.0,1.3613862810090152
3.0,1.2469599309721302
1.0,0.4882254478586236
2.0,1.3777418921143552
1.0,1.1904259546364837
1.0,1.3928902029952437
2.0,1.324428274812918
2.0,1.497954493193136
1.0,1.327221187265916
1.0,1.548341271675844
0.0,1.344656922015893
3.0,1.1886584148313837
3.0,1.6578565012600877
0.0,1.2657315216316902
1.0,1.6120877862491765
2.0,1.2683391031156406
2.0,0.9375518552602028
2.0,1.5003005241723697
1.0,1.4519632435592906
0.0,1.2716434265973533
1.0,1.3480604470299278
1.0,1.397711246587328
1.0,1.188436037465234
1.0,1.270030348651703
1.0,1.2525502365442025
3.0,1.304807786881185
0.0,1.2517398162094713
1.0,0.98325147545374
0.0,1.3461767989954114
1.0,1.243342302579289
1.0,1.3614020295075495
3.0,1.3261033455797562
3.0,1.4678343801269071
1.0,1.3967524022100832
2.0,1.3248275863004908
3.0,1.5016327610369689
2.0,1.0226386101914682
3.0,0.8218780596248617
1.0,1.4912705487178657
2.0,1.3227478013428091
3.0,1.4030038239510958
3.0,1.386542304253359
2.0,1.3395456390090623
0.0,0.4393225449305069
3.0,1.265735108668725
2.0,1.1109337419611005
2.0,1.3831611015588303
3.0,1.5294363943453058
1.0,0.7378120328394763
0.0,1.0365207425701728
3.0,1.17581914460409
3.0,1.1154994017022923
3.0,1.4378203557459754
1.0,1.3894455869302038
0.0,1.1966377571369669
3.0,1.2280344392500449
1.0,1.2913968117623034
3.0,1.4118479356215978
1.0,1.145030169956445
1.0,1.1738108208537077
1.0,1.169615482307297
3.0,1.4309379442935466
0.0,0.581633018488293
0.0,0.7930195251098786
0.0,1.4836890803943117
2.0,1.4403123149280248
0.0,1.5472844915044477
3.0,1.5806293141821646
3.0,1.1886877296339666
2.0,1.1279948159643929
2.0,1.4181377478516544
3.0,1.2965869882574534
0.0,1.2318117903397323
1.0,1.411648801043114
0.0,1.3182636192554589
2.0,1.4248669326897012
0.0,0.8063270924563912
3.0,1.373751113408579
0.0,1.3456988066023825
3.0,1.6479715762787617
2.0,0.7992670349867472
0.0,1.2470660044507187
3.0,1.2599388318955929
0.0,1.287816541638248
1.0,1.2753337030192933
0.0,0.4982104215958644
2.0,0.3945825087942
2.0,1.293870543999836
1.0,1.2866843264339949
1.0,0.4898661696238753
2.0,1.3391430112881264
1.0,1.57951191996701
2.0,1.5214627346234555
1.0,1.18884552695209
3.0,1.3214036613671556
0.0,0.7337672832147037
2.0,0.6040523204690127
0.0,0.8112571763568613
2.0,1.438168566956608
1.0,1.3339173065481629
1.0,1.3527411142454504
0.0,0.7963033221979463
0.0,1.0618853990503232
2.0,1.1048264966376071
1.0,1.4568014355372767
0.0,1.217890048305908
2.0,1.3221951272258152
1.0,1.2591298032003664
0.0,1.3170452513484043
0.0,1.850892952383488
2.0,1.2012013827162575
0.0,1.5946130090339452
3.0,1.3633267283930488
0.0,0.780005617079905
0.0,0.4862815441949735
2.0,1.2244818054617557
1.0,1.3163999094594805
0.0,0.7341728361460719
1.0,1.214089058898869
0.0,1.322020063704681
1.0,1.1925731009177525
3.0,1.1662360348892726
