graph_seed,regime,k,rep_a,rep_b,jaccard_distance,fresh_score_gap,score_a,score_b,evaluation_set
42002,transition_dense,64,new_rep2,new_rep3,0.7924528301886793,0.000501272579034,0.7347590426603953,0.7342577700813612,stage4f_fresh_6501_6524
42002,transition_dense,64,new_rep2,previous_rep0,0.8148148148148149,0.0788252900044123,0.7347590426603953,0.655933752655983,stage4f_fresh_6501_6524
42002,transition_dense,64,new_rep3,previous_rep0,0.8468468468468469,0.0783240174253782,0.7342577700813612,0.655933752655983,stage4f_fresh_6501_6524
42002,transition_mid,8,new_rep1,new_rep2,1.0,0.016293772496283,0.2191980257630348,0.2029042532667517,stage4f_fresh_6501_6524
42002,transition_mid,8,new_rep1,new_rep3,1.0,0.0396163294402261,0.2191980257630348,0.1795816963228086,stage4f_fresh_6501_6524
42002,transition_mid,8,new_rep1,previous_rep0,1.0,0.0059410597508152,0.2191980257630348,0.2132569660122195,stage4f_fresh_6501_6524
42002,transition_mid,8,new_rep2,new_rep3,1.0,0.0233225569439431,0.2029042532667517,0.1795816963228086,stage4f_fresh_6501_6524
42002,transition_mid,8,new_rep2,previous_rep0,0.9333333333333332,0.0103527127454677,0.2029042532667517,0.2132569660122195,stage4f_fresh_6501_6524
42002,transition_mid,8,new_rep3,previous_rep0,0.9333333333333332,0.0336752696894109,0.1795816963228086,0.2132569660122195,stage4f_fresh_6501_6524
42002,transition_mid,32,new_rep1,new_rep2,0.5116279069767442,0.0345645354439815,0.3977568472425143,0.3631923117985328,stage4f_fresh_6501_6524
42002,transition_mid,32,new_rep1,new_rep3,0.5116279069767442,0.0714445374906063,0.3977568472425143,0.326312309751908,stage4f_fresh_6501_6524
42002,transition_mid,32,new_rep1,previous_rep0,0.5454545454545454,0.125374876583616,0.3977568472425143,0.2723819706588983,stage4f_fresh_6501_6524
42002,transition_mid,32,new_rep2,new_rep3,0.5454545454545454,0.0368800020466247,0.3631923117985328,0.326312309751908,stage4f_fresh_6501_6524
