specimen_id,C_temporal_AB,C_temporal_BA,long_short_gain_AB,long_short_gain_BA,long_short_gain_mean
479704527,25,25,-0.00812065601348877,0.010751843452453613,0.0013155937194824219
479711015,10,10,-0.010572075843810924,-0.026056706905365212,-0.018314391374588068
479721491,25,10,-0.00947338342666637,0.008521795272827037,-0.0004757940769196667
479722622,25,25,0.01990717649459839,0.0009406208992004395,0.010423898696899414
479728896,25,10,0.026138782501220592,-0.002803981304168812,0.01166740059852589
479766169,10,25,-0.011852264404296764,0.02813512086868286,0.008141428232193049
479770916,10,10,-0.013742148876190186,0.00028043985366843494,-0.006730854511260875
479993900,10,10,0.011903703212737926,0.00824517011642456,0.010074436664581243
480003970,10,25,-0.007627964019775391,0.07414263486862172,0.03325733542442316
480087928,25,10,0.016713201999664418,-0.030635058879852184,-0.006960928440093883
480090260,25,10,0.018281877040863037,-0.008278131484985463,0.005001872777938787
480122859,25,10,0.026480257511138805,-0.0010706782341004528,0.012704789638519176
480124551,10,10,0.009296953678131215,-0.00013935565948475226,0.004578799009323231
480169178,10,25,0.0027420520782471813,0.009168267250061146,0.005955159664154164
480169202,10,10,-0.03344315290451061,-0.0005981326103211559,-0.017020642757415883
480169278,25,25,0.017483949661254994,0.024235546588897816,0.020859748125076405
480171348,10,10,-0.01514911651611317,-0.011910080909729004,-0.013529598712921087
480171386,10,10,0.005215704441070557,-0.026224911212921254,-0.010504603385925348
480266505,25,10,-0.01373314857482899,0.01630556583404541,0.0012862086296082098
480268803,25,10,0.041350245475769154,-0.028938233852386586,0.006206005811691284
480273887,10,50,-0.016555726528167836,0.023532271385192982,0.0034882724285125732
480351780,50,10,0.01969689130783081,-0.010492563247680553,0.004602164030075129
480353286,10,10,0.0029013752937315784,-0.002530038356781228,0.00018566846847517526
480364000,10,50,0.01806032657623302,0.006425678730010986,0.012243002653122004
480643417,10,10,-0.05169326066970825,-0.0007259249687193714,-0.02620959281921381
480647923,10,25,0.010728955268859974,-0.06298720836639393,-0.02612912654876698
480648382,10,10,-0.013558745384216198,-0.035066604614258035,-0.024312674999237116
480705931,25,10,0.0213381052017212,-0.014804601669311501,0.0032667517662048487
480718588,50,10,-0.033467471599578746,-0.007836520671844371,-0.02065199613571156
480735016,10,25,-0.018285572528839222,-0.004860401153564342,-0.011572986841201782
480777144,10,10,-0.00037300586700439974,-0.0007569789886475,-0.0005649924278259499
480778441,10,10,-0.015795171260833518,-0.060680091381073,-0.03823763132095326
480792667,10,10,-0.008272409439086898,0.0053744316101075,-0.0014489889144896993
480798873,10,10,0.0093661546707154,0.0012469291687010999,0.00530654191970825
480952106,50,10,-0.005629420280456543,-0.05228239297866821,-0.028955906629562378
480999763,10,25,0.013584017753601074,0.035598933696746826,0.02459147572517395
481003593,10,10,-0.014471352100372203,-0.014285266399383434,-0.014378309249877819
481003643,50,10,0.045708119869231956,-0.03367304801940918,0.006017535924911388
481004298,10,25,-0.020480632781982422,-0.003995835781097412,-0.012238234281539917
481017021,10,10,0.0005139112472533998,-0.0108026266098023,-0.0051443576812744505
481018305,10,10,-0.02916574478149414,-0.00892019271850597,-0.019042968750000056
481093098,25,10,0.012346327304839977,-0.018738985061645397,-0.00319632887840271
481093525,10,10,-0.0036683082580565,0.005763292312622001,0.0010474920272827504
481096407,10,10,-0.008967995643615612,-0.014534413814544567,-0.01175120472908009
481127173,10,10,0.0142687559127808,0.0072017908096312,0.010735273361206
481127348,10,10,-0.008762836456298828,-0.00942927598953236,-0.009096056222915594
481136214,25,10,0.02170872688293457,-0.010089159011840931,0.0058097839355468195
482435718,25,25,0.012941360473632812,0.03950124979019176,0.026221305131912287
482444444,10,10,-0.025585412979125977,-0.004278063774108776,-0.014931738376617376
482516216,10,50,-0.024216055870056197,0.0231415033340455,-0.0005372762680053485
482516631,10,10,-0.024830162525177002,-0.02352052927017223,-0.024175345897674616
482521571,10,10,-0.008708477020263783,0.0064498186111447975,-0.0011293292045594927
482649712,10,10,-0.0075209736824036755,-0.006237328052520641,-0.006879150867462158
482652174,25,25,-0.006402671337127797,-0.0017936229705808326,-0.004098147153854315
482654108,10,25,-0.008799314498901398,0.015265583992004401,0.0032331347465515015
482690728,10,10,-0.0061323642730714,-0.0413610339164735,-0.02374669909477245
482726727,10,10,0.0008605718612669788,0.014337599277496338,0.007599085569381658
482764620,25,25,0.0008604526519776501,0.012992918491363636,0.006926685571670643
482772037,50,10,-0.057831883430480846,-0.03492671251296997,-0.04637929797172541
482773968,10,10,-0.009424805641174205,-0.0012819766998292126,-0.005353391170501709
482809953,10,25,-0.01382291316986084,0.01033252477645863,-0.0017451941967011053
482910438,10,10,0.008972346782684326,-0.010459780693053977,-0.0007437169551848255
483018019,50,25,0.0117264986038208,0.036196112632751354,0.023961305618286077
483020137,25,10,0.024670541286468395,-0.019400715827941784,0.0026349127292633057
483027960,50,10,0.08558684587478649,-0.009267091751098744,0.03815987706184387
483057325,50,10,0.0046523213386535645,0.013782739639282005,0.009217530488967784
