graph_seed,k,source_state,target_state,rhythm_score_mean,home_mean,delta_vs_target_home,pair
42002,8,transition_dense,transition_mid,0.0355491795053239,0.1969563269910092,-0.1614071474856852,Transition-dense → Transition-mid
42002,8,transition_mid,sparse_drive,0.1386301826375225,0.2004455884064857,-0.0618154057689631,Transition-mid → Sparse
42002,8,transition_mid,transition_dense,0.1216915517579763,0.1292316538553374,-0.007540102097361,Transition-mid → Transition-dense
42002,32,sparse_drive,transition_dense,0.3305164555398126,0.3350910283625125,-0.0045745728226999,Sparse → Transition-dense
42002,32,sparse_drive,transition_mid,0.3416783910555144,0.369904907575498,-0.0282265165199836,Sparse → Transition-mid
42002,32,transition_dense,sparse_drive,0.3188192927433798,0.3650154481486727,-0.0461961554052929,Transition-dense → Sparse
42002,32,transition_dense,transition_mid,0.3120151050388813,0.369904907575498,-0.0578898025366167,Transition-dense → Transition-mid
42002,32,transition_mid,sparse_drive,0.266001358628273,0.3650154481486727,-0.0990140895203997,Transition-mid → Sparse
42002,32,transition_mid,transition_dense,0.3454294766609866,0.3350910283625125,0.0103384482984741,Transition-mid → Transition-dense
42002,64,sparse_drive,transition_dense,0.5838957307860255,0.6893730216349165,-0.105477290848891,Sparse → Transition-dense
42002,64,sparse_drive,transition_mid,0.6075528835256895,0.6354412481499214,-0.0278883646242319,Sparse → Transition-mid
42002,64,transition_dense,sparse_drive,0.3836455991646895,0.4661989674593011,-0.0825533682946115,Transition-dense → Sparse
42002,64,transition_dense,transition_mid,0.5020698363271853,0.6354412481499214,-0.1333714118227361,Transition-dense → Transition-mid
42002,64,transition_mid,sparse_drive,0.4290146872711678,0.4661989674593011,-0.0371842801881333,Transition-mid → Sparse
42002,64,transition_mid,transition_dense,0.6951443031430244,0.6893730216349165,0.0057712815081079,Transition-mid → Transition-dense
42003,8,sparse_drive,transition_dense,0.0641682546896238,0.1353358612007771,-0.0711676065111532,Sparse → Transition-dense
42003,8,sparse_drive,transition_mid,0.1433177952809879,0.1345385486686912,0.0087792466122967,Sparse → Transition-mid
42003,8,transition_dense,sparse_drive,0.0343413164276473,0.1125676200802748,-0.0782263036526274,Transition-dense → Sparse
42003,8,transition_dense,transition_mid,0.0287873613027234,0.1345385486686912,-0.1057511873659678,Transition-dense → Transition-mid
42003,8,transition_mid,sparse_drive,0.0876396422002774,0.1125676200802748,-0.0249279778799973,Transition-mid → Sparse
42003,8,transition_mid,transition_dense,0.07235700051145,0.1353358612007771,-0.0629788606893271,Transition-mid → Transition-dense
42003,32,sparse_drive,transition_dense,0.3184088347479701,0.374437467350314,-0.0560286326023439,Sparse → Transition-dense
42003,32,sparse_drive,transition_mid,0.3267335595252613,0.3832698982829848,-0.0565363387577235,Sparse → Transition-mid
42003,32,transition_dense,sparse_drive,0.2701528444110105,0.3213470553358395,-0.051194210924829,Transition-dense → Sparse
42003,32,transition_dense,transition_mid,0.322258110002925,0.3832698982829848,-0.0610117882800598,Transition-dense → Transition-mid
42003,32,transition_mid,sparse_drive,0.2881987130579849,0.3213470553358395,-0.0331483422778546,Transition-mid → Sparse
42003,32,transition_mid,transition_dense,0.2506839369113246,0.374437467350314,-0.1237535304389894,Transition-mid → Transition-dense
42003,64,sparse_drive,transition_dense,0.5154776081132392,0.6229262170381844,-0.1074486089249452,Sparse → Transition-dense
42003,64,sparse_drive,transition_mid,0.5795905270303289,0.5981356911361217,-0.0185451641057928,Sparse → Transition-mid
42003,64,transition_dense,sparse_drive,0.2883122235070914,0.5418377943957845,-0.2535255708886931,Transition-dense → Sparse
42003,64,transition_dense,transition_mid,0.4162233731088539,0.5981356911361217,-0.1819123180272678,Transition-dense → Transition-mid
42003,64,transition_mid,sparse_drive,0.4492214932106435,0.5418377943957845,-0.0926163011851409,Transition-mid → Sparse
42003,64,transition_mid,transition_dense,0.52896225778386,0.6229262170381844,-0.0939639592543244,Transition-mid → Transition-dense
