specimen_id,specimen_name,ev_glif1,ev_glif2,ev_glif3,ev_glif4,ev_glif5,model_id_glif1,model_id_glif2,model_id_glif3,model_id_glif4,model_id_glif5,ev_cost0,ev_cost1,ev_cost2,ev_cost3,ev_best,creq_eps_0p000,creq_eps_0p005,creq_eps_0p010,creq_eps_0p015,creq_eps_0p020,creq_eps_0p025,creq_eps_0p030,creq_eps_0p040,creq_eps_0p050
484635029,Pvalb-IRES-Cre;Ai14-201791.05.01.01,0.93089969985169,0.909263486372273,0.975321940357799,0.972898814208301,0.970940470915453,485602014,485602016,485602018,485602020,485602022,0.93089969985169,0.975321940357799,0.972898814208301,0.970940470915453,0.975321940357799,1,1,1,1,1,1,1,1,0
484679812,Rorb-IRES2-Cre-D;Ai14-201967.03.01.01,0.777578424059579,0.702136027027956,0.70786372893082,0.799028154336752,0.810941670828687,485909110,485909112,485909114,485909116,485909118,0.777578424059579,0.70786372893082,0.799028154336752,0.810941670828687,0.810941670828687,3,3,3,2,2,2,2,0,0
484737013,Scnn1a-Tg2-Cre;Ai14-200711.06.01.01,0.665252748549365,0.715304069074899,0.637259378365384,0.644091295379628,0.710381303798676,485610756,485610758,485610760,485610762,485610764,0.665252748549365,0.715304069074899,0.644091295379628,0.710381303798676,0.715304069074899,1,1,1,1,1,1,1,1,1
484742372,Pvalb-IRES-Cre;Ai14-201773.04.01.01,0.929024326399378,0.870979463808057,0.96037658329043,0.964511712171922,0.963430065210898,485611899,485611901,485611903,485611905,485611907,0.929024326399378,0.96037658329043,0.964511712171922,0.963430065210898,0.964511712171922,2,1,1,1,1,1,1,0,0
485245025,Pvalb-IRES-Cre;Ai14-202473.06.01.01,0.874703883147636,0.84834451325381,0.949204234268544,0.962140886983841,0.961772725128409,485716701,485716703,485716705,485716707,485716709,0.874703883147636,0.949204234268544,0.962140886983841,0.961772725128409,0.962140886983841,2,2,2,1,1,1,1,1,1
485287944,Ntsr1-Cre;Ai14-201393.03.02.01,0.701979350405495,0.605659544266998,0.810488628408055,0.876469995309136,0.867894217715088,566402725,566402727,566402729,566402731,566402733,0.701979350405495,0.810488628408055,0.876469995309136,0.867894217715088,0.876469995309136,2,2,2,2,2,2,2,2,2
485339983,Ntsr1-Cre;Ai14-201393.04.02.01,0.726419402382836,0.649950598953944,0.692196699949901,0.754835825616386,0.800644276973537,566404794,566404796,566404798,566404800,566404802,0.726419402382836,0.692196699949901,0.754835825616386,0.800644276973537,0.800644276973537,3,3,3,3,3,3,3,3,2
485455285,Sst-IRES-Cre;Ai14-202729.02.02.01,0.730889381313773,0.818818322890064,0.854891675846946,0.876218502016555,0.870142423333805,485720547,485720549,485720551,485720553,485720555,0.730889381313773,0.854891675846946,0.876218502016555,0.870142423333805,0.876218502016555,2,2,2,2,2,1,1,1,1
485466109,Sst-IRES-Cre;Ai14-202729.03.02.01,0.872443121898975,0.878736648551434,0.924729056620708,0.940316346691455,0.940405715763963,485720601,485720603,485720605,485720607,485720609,0.872443121898975,0.924729056620708,0.940316346691455,0.940405715763963,0.940405715763963,3,2,2,2,1,1,1,1,1
485468180,Nr5a1-Cre;Ai14-202954.03.01.01,0.821802851228942,0.750574500082117,0.806758034020708,0.798702964913048,0.803632818882741,485720572,485720574,485720576,485720578,485720580,0.821802851228942,0.806758034020708,0.798702964913048,0.803632818882741,0.821802851228942,0,0,0,0,0,0,0,0,0
485570335,Nr5a1-Cre;Ai14-202961.04.02.01,0.577477041999692,0.6419916929826,0.504453784823692,0.631780799497661,0.692403647751662,486052315,486052317,486052319,486052321,486052323,0.577477041999692,0.6419916929826,0.631780799497661,0.692403647751662,0.692403647751662,3,3,3,3,3,3,3,3,3
485570372,Nr5a1-Cre;Ai14-202961.03.02.01,0.639850812084081,0.683803134506207,0.611260066680417,0.725808470004546,0.714347905817183,486052338,486052340,486052342,486052344,486052346,0.639850812084081,0.683803134506207,0.725808470004546,0.714347905817183,0.725808470004546,2,2,2,2,2,2,2,2,1
485574721,Rbp4-Cre_KL100;Ai14-203498.04.01.01,0.669648860890379,0.600902951262875,0.487073099398698,0.553759256075055,0.625120323303997,486052420,486052422,486052424,486052426,486052428,0.669648860890379,0.600902951262875,0.553759256075055,0.625120323303997,0.669648860890379,0,0,0,0,0,0,0,0,0
