subject,top_fraction,topset_auc_crossover
619296,0.05,-0.0015480686527484
619296,0.1,-0.0309665337399329
619296,0.2,0.0311457307060756
619296,0.4,0.0426832043162092
619296,0.05,0.0309217006802722
619296,0.1,0.0168546258503403
619296,0.2,0.0320351700680272
619296,0.4,-0.0042002040816325
619296,0.05,0.0280457457921252
619296,0.1,0.0416508753846956
619296,0.2,0.0373188247050865
619296,0.4,0.0456046929134201
619296,0.05,0.0249591642067856
619296,0.1,-0.0171965291492943
619296,0.2,-0.0294887911228775
619296,0.4,0.0059232595801645
619296,0.05,0.0224978011815111
619296,0.1,0.0213498858124304
619296,0.2,0.0379894305720702
619296,0.4,0.0148974576751033
619296,0.05,0.0553055877057612
619296,0.1,0.0527104537159515
619296,0.2,0.0038535466269842
619296,0.4,-0.0109774389758473
619296,0.05,0.0415127272727274
619296,0.1,0.0372081107954546
619296,0.2,0.0094430871212122
619296,0.4,-0.018019071969697
619296,0.05,0.0014408602150535
619296,0.1,0.0176096658573245
619296,0.2,-0.0125531275291941
619296,0.4,0.0020966585732453
620333,0.05,0.0136729650197663
620333,0.1,0.0010661772446284
620333,0.2,-0.029900830090224
620333,0.4,0.0034383740402259
620333,0.05,-0.0130899552077874
620333,0.1,-0.0294774416383098
620333,0.2,0.0094186004884099
620333,0.4,0.0476122402012088
620333,0.05,0.0155051726572982
620333,0.1,-0.0239888602499823
620333,0.2,-0.0019000247157685
620333,0.4,0.0257277911164466
620333,0.05,0.0549853646041782
620333,0.1,0.0237899007444168
620333,0.2,-0.0322501833026496
620333,0.4,-0.0540790542703915
620333,0.05,0.0144202394366486
620333,0.1,0.0854354643728693
620333,0.2,0.0052080549723229
620333,0.4,-0.0314839284358213
620333,0.05,-0.0159371602956339
620333,0.1,0.0256385741662183
620333,0.2,0.0758273202158418
620333,0.4,0.0453006803893222
620333,0.05,0.0183541366737256
620333,0.1,-0.0105074353265904
620333,0.2,-0.010058350187835
620333,0.4,0.0033006048414034
620333,0.05,-0.0288084651703421
620333,0.1,-0.0117845184948979
620333,0.2,0.0042524507282751
620333,0.4,0.0482806328176432
620333,0.05,-0.0677447984453479
620333,0.1,-0.0492190400157434
620333,0.2,-0.0099462122126957
620333,0.4,-0.069703096557492
620333,0.05,0.0258655241493059
620333,0.1,0.0410820910049762
620333,0.2,0.1026297631435508
620333,0.4,0.0672017704063934
620333,0.05,-0.0415593796227811
620333,0.1,-0.0074958394970414
620333,0.2,0.0215970552884614
620333,0.4,0.0188418777736685
620333,0.05,-0.0450922128661215
620333,0.1,-0.014567196081762
620333,0.2,0.049152349405874
620333,0.4,0.0835693558041528
620334,0.05,-0.0073405998150349
620334,0.1,-0.0128008984013739
620334,0.2,0.0321783590963138
620334,0.4,0.0881475756374687
620334,0.05,0.0025389022450272
620334,0.1,0.0271538427803093
620334,0.2,0.0363574301992257
620334,0.4,0.0723996635050494
620334,0.05,0.004991850555708
620334,0.1,-0.0243483236478476
620334,0.2,0.0080208253127087
620334,0.4,-0.0287398690328758
620334,0.05,0.0023503110025439
620334,0.1,-0.0278697619644091
620334,0.2,-0.0253734398930187
620334,0.4,0.0183628125565076
620334,0.05,0.0628008741130861
620334,0.1,0.0305559578670177
620334,0.2,0.0449982810328433
620334,0.4,0.0332983322361203
620334,0.05,-0.0103511284722221
620334,0.1,0.0144691840277777
620334,0.2,0.0206145833333333
620334,0.4,-0.0338168402777777
620334,0.05,-0.0288888888888888
620334,0.1,-0.011111111111111
620334,0.2,0.0045555555555555
620334,0.4,-0.0381111111111109
620334,0.05,-0.0227828211744469
620334,0.1,0.0060093048713738
620334,0.2,-0.0013631832043162
620334,0.4,0.0370898232856362
620334,0.05,-0.0332684146486229
620334,0.1,-0.0156258552779096
620334,0.2,0.0552998995924343
620334,0.4,0.0042955251035401
620334,0.05,0.011887573964497
620334,0.1,0.0040065746219591
620334,0.2,-0.068086127547666
620334,0.4,-0.0046232741617355
620334,0.05,-0.0368906670026882
620334,0.1,-0.0529738883288531
620334,0.2,-0.0060013580869174
620334,0.4,0.0046849518369174
620334,0.05,-0.032374661879838
620334,0.1,-0.0346852183761435
620334,0.2,0.0507224913133355
620334,0.4,0.0271046605603448
625545,0.05,0.0329238880693449
625545,0.1,-0.0196492210140806
625545,0.2,-0.00676162742996
625545,0.4,0.0026690687718495
625545,0.05,0.0912318294256179
625545,0.1,0.0228850093374227
625545,0.2,-0.0508777428180292
625545,0.4,-0.0177867024337046
625545,0.05,0.0035054539057002
625545,0.1,0.0044862772695285
625545,0.2,-0.0022387403237156
625545,0.4,-0.0326530612244898
625545,0.05,-0.0133098952224567
625545,0.1,0.0335246305418719
625545,0.2,0.0240962350457425
625545,0.4,-0.0122892720306513
625545,0.05,-0.0078316832083606
625545,0.1,-0.024962214969222
