graph_seed,graph_id,coupling,noise_sigma,A_mid,A_pool,A_shared,A_sparse,shared_random,spectral,shared_minus_random,shared_minus_frozen_mid,shared_minus_frozen_sparse,tested_specialists_max
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.035,1.0,0.4114888447026412,0.371765090773503,0.42567470856010914,0.3411683142185211,0.24894681138296917,0.3272830564528703,0.17672789717713996,0.01418586385746795,0.08450639434158802,0.4114888447026412
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.035,1.2,0.4526100804408391,0.3638756647706032,0.4085692223161459,0.34138995967805386,0.21637585402155912,0.382878156999747,0.19219336829458677,-0.044040858124693216,0.06717926263809204,0.4526100804408391
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.03875,0.8,0.32521932137509185,0.30162938063343364,0.3414159941797455,0.3693038144459327,0.13642973437284425,0.37466440722346306,0.20498625980690124,0.016196672804653645,-0.02788782026618719,0.3693038144459327
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.03875,1.0,0.32654638029634947,0.3017894982670744,0.32408773433417076,0.34795381035655737,0.16029084008187053,0.38645066134631634,0.16379689425230023,-0.002458645962178707,-0.023866076022386606,0.34795381035655737
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.03875,1.2,0.37527823199828464,0.2856081742793321,0.36817438279589015,0.4138409321506818,0.1512806916919847,0.4517830020437638,0.21689369110390547,-0.0071038492023944855,-0.04566654935479164,0.4138409321506818
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.0425,0.8,0.34675853544225294,0.3229596142967542,0.34287191058198613,0.3428434319794178,0.14132125054796532,0.39796577642361325,0.2015506600340208,-0.0038866248602668074,2.8478602568327016e-05,0.34675853544225294
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.0425,1.0,0.31423882953822607,0.30627503370245296,0.3285480613509814,0.38996461778879166,0.15208324013898766,0.36000391778846574,0.17646482121199375,0.01430923181275534,-0.061416556437810244,0.38996461778879166
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.0425,1.2,0.31090302144487697,0.2857842091470956,0.3314096583053469,0.38206047378480434,0.16481041908264157,0.3802844143162171,0.16659923922270534,0.02050663686046994,-0.050650815479457434,0.38206047378480434
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.04625,0.8,0.33996750600636005,0.26121998205780983,0.3545369543135166,0.3384065330028534,0.22695647428433097,0.3460925246278445,0.12758048002918565,0.014569448307156563,0.016130421310663223,0.33996750600636005
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.04625,1.0,0.2602261317272981,0.3023293629909555,0.3738420611868302,0.31650475785136223,0.1915455389147003,0.34509054695566493,0.18229652227212992,0.11361592945953214,0.05733730333546799,0.31650475785136223
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.04625,1.2,0.2845389122764269,0.2976237336794535,0.3320393422618508,0.36991122737526894,0.1886353796968857,0.36993480784197647,0.14340396256496507,0.047500429985423864,-0.03787188511341816,0.36991122737526894
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.05,0.8,0.2344684644291798,0.27256517422695953,0.3632834901412328,0.43338820214072865,0.2462512422353029,0.30482671782374376,0.11703224790592989,0.128815025712053,-0.07010471199949586,0.43338820214072865
