phase,topology,N,regime,k,baseline,n_tasks,mean_gain,bootstrap95_low,bootstrap95_high,median_gain,positive_fraction,wilcoxon_greater_p,wilcoxon_greater_fdr_bh
stage4b_replication,scale_free,256,transition_mid,48,spectral,4,0.06432496756315233,-0.09795403480529785,0.2266039699316025,0.06925104558467865,0.5,0.3125,0.4290254237288136
stage4b_replication,scale_free,256,transition_mid,64,spectral,4,0.029414720833301544,-0.05014507472515106,0.10897451639175415,0.054640382528305054,0.75,0.1875,0.36818181818181817
stage4c_atlas_extension,scale_free,256,sparse_drive,8,spectral,2,0.18953982181847095,0.1586346067488193,0.2204450368881226,0.18953982181847095,1.0,0.25,0.36818181818181817
stage4c_atlas_extension,scale_free,256,sparse_drive,16,spectral,2,-0.029281374067068107,-0.04463445395231251,-0.013928294181823703,-0.029281374067068107,0.0,1.0,1.0
stage4c_atlas_extension,scale_free,256,sparse_drive,24,spectral,2,-0.0003829076886177202,-0.008576452732086237,0.007810637354850797,-0.0003829076886177202,0.5,0.75,0.8209459459459459
stage4c_atlas_extension,scale_free,256,sparse_drive,32,spectral,2,-0.0988815575838089,-0.2058523297309876,0.008089214563369806,-0.0988815575838089,0.5,0.75,0.8209459459459459
stage4c_atlas_extension,scale_free,256,sparse_drive,48,spectral,2,0.0009654462337494174,-0.03801760077476496,0.039948493242263794,0.0009654462337494174,0.5,0.5,0.6230769230769231
stage4c_atlas_extension,scale_free,256,sparse_drive,64,spectral,2,0.2415227293968201,0.2236627340316773,0.2593827247619629,0.2415227293968201,1.0,0.25,0.36818181818181817
stage4c_atlas_extension,scale_free,256,transition_dense,8,spectral,2,0.01946372911334035,-0.029005214571952792,0.06793267279863349,0.01946372911334035,0.5,0.5,0.6230769230769231
stage4c_atlas_extension,scale_free,256,transition_dense,16,spectral,2,-0.0032605901360511502,-0.015670582652091897,0.009149402379989596,-0.0032605901360511502,0.5,0.75,0.8209459459459459
stage4c_atlas_extension,scale_free,256,transition_dense,24,spectral,2,-0.02488794922828677,-0.035701334476471,-0.014074563980102539,-0.02488794922828677,0.0,1.0,1.0
stage4c_atlas_extension,scale_free,256,transition_dense,32,spectral,2,0.14535832405090335,0.10232549905776978,0.18839114904403692,0.14535832405090335,1.0,0.25,0.36818181818181817
stage4c_atlas_extension,scale_free,256,transition_dense,48,spectral,2,-0.05391910672187805,-0.11281466484069824,0.004976451396942139,-0.05391910672187805,0.5,0.75,0.8209459459459459
stage4c_atlas_extension,scale_free,256,transition_dense,64,spectral,2,0.35044725239276886,0.32859817147254944,0.37229633331298834,0.35044725239276886,1.0,0.25,0.36818181818181817
stage4c_atlas_extension,scale_free,256,transition_mid,8,spectral,2,0.1315939519554377,0.12898380681872368,0.1342040970921517,0.1315939519554377,1.0,0.25,0.36818181818181817
stage4c_atlas_extension,scale_free,256,transition_mid,16,spectral,2,0.0379244238138199,0.0,0.0758488476276398,0.0379244238138199,0.5,0.5,0.6230769230769231
stage4c_atlas_extension,scale_free,256,transition_mid,24,spectral,2,0.08215044438838959,0.02827504277229309,0.13602584600448608,0.08215044438838959,1.0,0.25,0.36818181818181817
stage4c_atlas_extension,scale_free,256,transition_mid,32,spectral,2,0.044046610593795804,-0.07174664735794062,0.15983986854553223,0.044046610593795804,0.5,0.5,0.6230769230769231
stage4c_atlas_extension,scale_free,256,transition_mid,48,spectral,2,-0.07477542757987976,-0.10452044010162354,-0.045030415058135986,-0.07477542757987976,0.0,1.0,1.0
stage4c_atlas_extension,scale_free,256,transition_mid,64,spectral,2,0.08634103834629059,0.062330543994903564,0.11035153269767761,0.08634103834629059,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,128,sparse_drive,4,spectral,2,0.0765082091093064,0.0689688473939896,0.0840475708246232,0.0765082091093064,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,128,sparse_drive,16,spectral,2,0.08633945882320404,0.03479248285293579,0.1378864347934723,0.08633945882320404,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,128,sparse_drive,32,spectral,2,0.2655103355646134,0.2377925515174866,0.29322811961174017,0.2655103355646134,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,128,transition_dense,4,spectral,2,0.06535759568214419,0.0356570258736611,0.09505816549062729,0.06535759568214419,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,128,transition_dense,16,spectral,2,0.07191708683967593,0.05453848838806158,0.08929568529129028,0.07191708683967593,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,128,transition_dense,32,spectral,2,0.2095278948545456,0.15069735050201416,0.268358439207077,0.2095278948545456,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,128,transition_mid,4,spectral,2,0.08412359654903415,0.0668197497725487,0.10142744332551959,0.08412359654903415,1.0,0.25,0.36818181818181817
stage4d_scaling,scale_free,128,transition_mid,16,spectral,2,-0.05319908261299133,-0.05422407388687134,-0.05217409133911133,-0.05319908261299133,0.0,1.0,1.0
