session_id,state,confound,rho,p,n
sub-Lederberg_ses-20171209T120000,visual,pca_loading_norm,0.5834135946440258,4.3606653568894645e-90,976
sub-Lederberg_ses-20171210T120000,baseline,mean_activity,0.8388328189882795,4.659878616719092e-192,721
sub-Lederberg_ses-20171210T120000,baseline,pca_loading_norm,0.6971412306955431,5.235035105321593e-106,721
sub-Lederberg_ses-20171210T120000,decision,mean_activity,0.867641502537256,2.161165906942476e-220,721
sub-Lederberg_ses-20171210T120000,decision,pca_loading_norm,0.7117430776737448,2.1503279168990876e-112,721
sub-Lederberg_ses-20171210T120000,movement,mean_activity,0.8603815216939841,1.1679393728612625e-212,721
sub-Lederberg_ses-20171210T120000,movement,pca_loading_norm,0.6884930453368986,2.1013775883960414e-102,721
sub-Lederberg_ses-20171210T120000,outcome,mean_activity,0.8566969161420954,6.708724235077975e-209,721
sub-Lederberg_ses-20171210T120000,outcome,pca_loading_norm,0.6873960578502977,5.896237983359689e-102,721
sub-Lederberg_ses-20171210T120000,visual,mean_activity,0.830920524439686,3.0335694314207734e-185,721
sub-Lederberg_ses-20171210T120000,visual,pca_loading_norm,0.6991399999743866,7.372883600642927e-107,721
sub-Lederberg_ses-20171211T120000,baseline,mean_activity,0.8268661144689948,0.0,1334
sub-Lederberg_ses-20171211T120000,baseline,pca_loading_norm,0.7435382968512204,4.681800990341435e-235,1334
sub-Lederberg_ses-20171211T120000,decision,mean_activity,0.8667915591716333,0.0,1334
sub-Lederberg_ses-20171211T120000,decision,pca_loading_norm,0.7536646193453759,4.868789386587414e-245,1334
sub-Lederberg_ses-20171211T120000,movement,mean_activity,0.8505941247265654,0.0,1334
sub-Lederberg_ses-20171211T120000,movement,pca_loading_norm,0.7623900576158138,4.863840119421517e-254,1334
sub-Lederberg_ses-20171211T120000,outcome,mean_activity,0.8460230481836577,0.0,1334
sub-Lederberg_ses-20171211T120000,outcome,pca_loading_norm,0.7677518026812263,9.14121080992378e-260,1334
sub-Lederberg_ses-20171211T120000,visual,mean_activity,0.8426921781619748,0.0,1334
sub-Lederberg_ses-20171211T120000,visual,pca_loading_norm,0.7550598370074973,1.8783026586808266e-246,1334
sub-Moniz_ses-20170515T120000,baseline,mean_activity,0.8748818750837912,2.3190281537880594e-255,806
sub-Moniz_ses-20170515T120000,baseline,pca_loading_norm,0.7463064743303748,2.758234643343503e-144,806
sub-Moniz_ses-20170515T120000,decision,mean_activity,0.8762214110034423,4.074794325982635e-257,806
sub-Moniz_ses-20170515T120000,decision,pca_loading_norm,0.7439489451043333,6.623008160097952e-143,806
sub-Moniz_ses-20170515T120000,movement,mean_activity,0.8760689145275647,6.470683302294417e-257,806
sub-Moniz_ses-20170515T120000,movement,pca_loading_norm,0.7558803787910604,4.7158624297972397e-150,806
sub-Moniz_ses-20170515T120000,outcome,mean_activity,0.8761600076629223,4.9091750266989026e-257,806
sub-Moniz_ses-20170515T120000,outcome,pca_loading_norm,0.7532119668420029,2.030374291651352e-148,806
sub-Moniz_ses-20170515T120000,visual,mean_activity,0.8756395472602996,2.3714907752197237e-256,806
sub-Moniz_ses-20170515T120000,visual,pca_loading_norm,0.7414223726814643,1.9217084043008076e-141,806
sub-Moniz_ses-20170516T120000,baseline,mean_activity,0.8558475070240501,0.0,1141
sub-Moniz_ses-20170516T120000,baseline,pca_loading_norm,0.7307253850138977,4.7503361107496253e-191,1141
sub-Moniz_ses-20170516T120000,decision,mean_activity,0.887092389769207,0.0,1141
sub-Moniz_ses-20170516T120000,decision,pca_loading_norm,0.7263313646035301,1.1323228346072053e-187,1141
sub-Moniz_ses-20170516T120000,movement,mean_activity,0.8861752693519803,0.0,1141
sub-Moniz_ses-20170516T120000,movement,pca_loading_norm,0.726749324182352,5.439651580446667e-188,1141
sub-Moniz_ses-20170516T120000,outcome,mean_activity,0.8913267361793379,0.0,1141
sub-Moniz_ses-20170516T120000,outcome,pca_loading_norm,0.7215669986264319,4.3860919208204835e-184,1141
sub-Moniz_ses-20170516T120000,visual,mean_activity,0.8512625822913089,2.885e-321,1141
sub-Moniz_ses-20170516T120000,visual,pca_loading_norm,0.7317988249016921,6.9423943557797596e-192,1141
sub-Moniz_ses-20170518T120000,baseline,mean_activity,0.8356095077335278,1.6365365806702834e-208,795
sub-Moniz_ses-20170518T120000,baseline,pca_loading_norm,0.7245964387786564,2.432722916870135e-130,795
sub-Moniz_ses-20170518T120000,decision,mean_activity,0.8822984536025124,9.671862089024709e-262,795
sub-Moniz_ses-20170518T120000,decision,pca_loading_norm,0.7140035045241893,6.770267773790497e-125,795
sub-Moniz_ses-20170518T120000,movement,mean_activity,0.87365794501188,2.4895463335425463e-250,795
sub-Moniz_ses-20170518T120000,movement,pca_loading_norm,0.7423404508880604,4.679472467195844e-140,795
sub-Moniz_ses-20170518T120000,outcome,mean_activity,0.8854571355707772,3.875996844656074e-266,795
sub-Moniz_ses-20170518T120000,outcome,pca_loading_norm,0.7442152543048879,3.951445342339859e-141,795
sub-Moniz_ses-20170518T120000,visual,mean_activity,0.8289734181750218,2.5605479307561587e-202,795
sub-Moniz_ses-20170518T120000,visual,pca_loading_norm,0.6958380610815114,4.0838002344535453e-116,795
sub-Muller_ses-20170107T120000,baseline,mean_activity,0.8437166274273886,1.1214806875921968e-298,1099
sub-Muller_ses-20170107T120000,baseline,pca_loading_norm,0.7058596646818428,1.8018202648318592e-166,1099
sub-Muller_ses-20170107T120000,decision,mean_activity,0.8760997039366146,0.0,1099
sub-Muller_ses-20170107T120000,decision,pca_loading_norm,0.714634520747082,1.8116136797626344e-172,1099
sub-Muller_ses-20170107T120000,movement,mean_activity,0.8779622909329658,0.0,1099
sub-Muller_ses-20170107T120000,movement,pca_loading_norm,0.7056646990196119,2.4346987607765462e-166,1099
sub-Muller_ses-20170107T120000,outcome,mean_activity,0.8753502031777916,0.0,1099
sub-Muller_ses-20170107T120000,outcome,pca_loading_norm,0.7004073070085393,7.441321679948502e-163,1099
sub-Muller_ses-20170107T120000,visual,mean_activity,0.8503324238620071,3.9450094808978154e-308,1099
sub-Muller_ses-20170107T120000,visual,pca_loading_norm,0.718597993840763,2.978170740477666e-175,1099
sub-Muller_ses-20170108T120000,baseline,mean_activity,0.8326081895530429,0.0,1438
sub-Muller_ses-20170108T120000,baseline,pca_loading_norm,0.6164096203134927,3.089328084403217e-151,1438
sub-Muller_ses-20170108T120000,decision,mean_activity,0.8554114871096572,0.0,1438
sub-Muller_ses-20170108T120000,decision,pca_loading_norm,0.5861962379177,1.8592537975528393e-133,1438
