axon_length_zmean,bbox_volume_zmean,branch_points_zmean,dendrite_length_zmean,endpoints_zmean,max_euclidean_radius_zmean,max_path_length_zmean,n,node_type_entropy_zmean,path_tortuosity_proxy_zmean,projection_subtype,radius_gyration_zmean,spatial_entropy_4_zmean,spatial_entropy_6_zmean
0.0,0.1701061472002708,-0.0466357724409096,0.0,-0.0487401586754024,-0.2776247713795144,-0.3294312285070861,42,-0.1336578212142619,0.183428454498358,20,0.1057688739207413,-0.0924322292719527,0.1236770676540082
0.0,0.2177380812447197,-0.1389071988651927,0.0,-0.1461510968462713,0.514340562562029,0.2711526994031826,64,0.2742908260134575,-0.4253114247914236,21,0.0549016540852203,-0.320127139155216,-0.3344321088307032
0.0,0.3528776559634617,-0.9772867796083708,0.0,-0.9761253909217276,0.8652319571802922,0.4935602584082206,53,0.915042175287011,-0.7511217245825788,22,0.923263915106238,-1.0783974784522796,-1.3261291535372508
0.0,0.2098135161876025,-0.3123040131329049,0.0,-0.318062392889724,0.5137854536275159,0.4120276153694326,164,0.0415930132539932,-0.1661605961417629,23,0.7534687403698129,-0.1887144838963208,-0.1136663038381161
0.0,0.6006950524540506,0.7062469239019481,0.0,0.6934501363978506,0.68250229802759,0.835453409526851,99,-0.5585171034579569,0.3788130900452438,24,1.0520665477998972,0.7058907290930435,0.888112044455044
0.0,0.8819062236902799,0.5133257210608385,0.0,0.504322825255367,0.8195919709115151,0.994237831001562,137,-0.39243769788438,0.4195337194247781,25,0.9563010217492642,0.4383809828639871,0.4244823830740401
0.1347537180261624,0.6722943319681579,0.480560700509121,0.0,0.468476819909856,0.2002617705949608,0.4747303631814083,209,-0.2532983909944781,0.7963643462086257,26,0.2787310440011841,0.5549081549057807,0.4552390308090344
0.1634045564135353,0.9526458682742972,0.7838497401531929,0.0,0.7720125403000242,0.5245104405181964,0.5692933043044729,90,-0.4663033920073989,0.1659966795748677,27,0.7710662821679772,0.6445567058590093,0.733487634048537
0.3541334071780527,0.3374164245422135,0.1508646808092873,0.0,0.1433942403371943,0.0182075838415705,-0.0566309797108633,80,-0.1813148293907992,0.0074172107697892,28,0.3265260880149815,0.2983969156195519,0.2893990296078019
0.0,0.1756003301704456,0.0927055353288183,0.0,0.0869212348956119,-0.3704459569197148,-0.2960077956841996,131,0.6266608160215221,0.4391171217470572,29,-0.1938262702593435,-0.1020790815633944,-0.1327927427845445
0.0,0.4991864421827734,-1.048454554248594,0.0,-1.0448999645809158,0.7270941511133701,0.9399885584435248,25,1.691578993179883,0.4834411115124281,30,0.975336880132084,-1.2747711890700013,-1.527450957780246
0.0,1.133556363231599,0.793448514149772,0.0,0.7866393977941183,0.4476835075113357,0.6368321851561928,88,-0.4262986517135223,0.5254075765930324,31,0.7504385315665494,0.3650058851838486,0.4066963479681666
0.0,-1.0273827671277465,-1.321115871997947,0.0,-1.312988472083383,-0.7276276704768065,-0.6296172770196846,88,1.0939229554393572,0.5879810540475182,32,-0.7657431128373101,-0.5387894846674857,-0.613928088892803
0.0,-0.8654784046250098,-0.9079574512876843,0.0,-0.8994570772003808,-0.9209856449530412,-0.679126969014509,139,1.1137009014608636,0.9736485231940286,33,-0.5314788417622202,-0.6251439362459423,-0.7002080957422478
0.0,-0.0417742243190245,-0.7717489794047776,0.0,-0.7687101282861343,-0.039758106985881,-0.3506545505684323,77,0.7444952069746856,-0.4962367770750188,34,0.4315168174950161,-0.4452992403409856,-0.639311254466443
0.0,0.4252273032129139,0.2314597408794963,0.0,0.2221000652362283,0.2272035692261116,0.2718637087149098,67,-0.1312581021644664,0.2335432729494114,35,0.1950437962816986,0.2286335216199963,0.183053932971148
0.0,-0.3036817531705211,-0.0344561874506025,0.0,-0.0434602501040901,-0.2003275549872234,-0.2743026234066579,36,0.6732091942341081,0.0205465054839466,36,0.1495821048503932,-0.8134480285858292,-0.8713840832577421
0.0,0.2987717014932103,0.1938452138108468,0.0,0.1855256737937368,0.0717605554366651,0.0623411905782086,99,0.0628044673758452,0.1341002789513392,37,0.3743253039203688,0.2101159986482664,0.0943357045371873
0.2665898480151562,0.8220300683759418,0.1271452258267945,0.0,0.1155068900706202,0.5481113194633641,0.5800544283441225,162,-0.0377359391453338,0.1412100316833586,38,0.5006488843020201,0.2338013427418115,0.2012382576085001
0.0,-0.6333494694673506,-0.6916424167016456,0.0,-0.6990725552368771,-0.7183472384040737,-0.5395251839765006,68,0.9297847885755977,0.8038963225795611,39,-0.7344562779241582,-0.3547780267352061,-0.393445768942572
0.0,0.0370604450267655,0.1619700809392078,0.0,0.1492259999905121,-0.3811861422578595,-0.064513077686546,105,0.1099300137001801,1.0088390302370138,40,-0.2571583678086098,0.1913256684871786,0.2453157872913162
0.0,-0.2419779498035447,-0.3380141156229276,0.0,-0.3457287533044658,-0.415323237597655,-0.3529238412356535,124,0.5572136284290898,0.3898133149221231,41,-0.2412416802782233,-0.5495582903600471,-0.5205486432783022
0.208270483974626,0.2401403398058951,-0.3807913237919421,0.0,-0.3914484349374385,0.0415030453456902,0.036624444116488,127,0.354388133637626,0.1876290023247733,42,0.1081861983578139,-0.3279956336885166,-0.3979469938712612
0.0,-0.8618714190991779,-0.48126027160514,0.0,-0.4904170401585994,-1.04944794617687,-0.7091899927210852,72,1.0665637834885322,1.2249248697151889,43,-0.9844665175464228,-0.0567299841114634,0.0032217211910877
0.0,-1.4683496857335288,-1.7591232347179122,0.0,-1.7457410600629697,-1.4302754484434923,-0.6081240555557844,48,2.043306363028876,3.3311545431386125,44,-1.4924146956618307,0.0360193727951046,-0.0063203261156358
0.0,-1.2025983426242628,-0.2832302064547338,0.0,-0.2525572683460494,-0.3668858144412855,-0.3931797984171,130,0.3425501655358514,0.1563033509988712,45,-1.3909398795008625,-1.1132123529298266,-0.9308216505097704
0.0,-1.782732088410901,-1.161477051507372,0.0,-1.1388725925586236,-0.9244009833466442,-0.8154060152856837,69,1.3890037761183651,0.5827985134807513,46,-1.5897852221096034,-0.8933350569629557,-0.9654810106041508
0.0,-1.0635668781990146,-0.5095856256993414,0.0,-0.4906012784491205,-0.315230604749591,-0.3448045268089826,125,0.5959751855077725,0.1506725603487523,47,-1.0305186837496156,-1.0016794227564243,-0.6726269643217536
