variant,graph_seed,repeat,rhythm_score_mid_home_advantage,rhythm_score_sparse_home_advantage,rhythm_score_crossover_interaction,alternative_spectral_score_mid_home_advantage,alternative_spectral_score_sparse_home_advantage,alternative_spectral_score_crossover_interaction
primary,93003,0,-0.03287192992866039,0.05708559229969978,0.012106831185519695,-0.030833568423986435,0.05293718352913862,0.011051807552576093
primary,93003,1,-0.07790217734873295,0.0030890069901943207,-0.037406585179269314,-0.12000105157494545,-0.001909086480736677,-0.06095506902784106
primary,93003,2,0.18700412847101694,0.1289139557629824,0.15795904211699963,0.2536790370941162,0.14059987105429173,0.19713945407420397
primary,93003,3,0.016186144202947617,-0.08387537300586706,-0.03384461440145972,0.010331893339753151,-0.10533268377184868,-0.047500395216047764
primary,93003,4,0.040797509253025055,-0.00584957934916025,0.017473964951932403,0.040016189217567444,-0.010366184636950493,0.014825002290308475
primary,93003,5,0.15555686503648758,0.06151822209358215,0.10853754356503487,0.20732642710208893,0.06848105229437351,0.13790373969823122
primary,93003,6,0.04347471892833715,0.11821532621979716,0.08084502257406716,0.04619269073009491,0.165949534624815,0.10607111267745495
primary,93003,7,-0.019494308158755302,0.022597610950470026,0.001551651395857362,-0.02218005433678627,0.02652302011847496,0.002171482890844345
primary,93003,8,-0.022123457863926888,-0.08072713389992714,-0.05142529588192701,-0.01835910975933075,-0.12074517272412777,-0.06955214124172926
primary,93003,9,0.0027053244411945343,-0.05330064706504345,-0.025297661311924458,0.006543945521116257,-0.05548781901597977,-0.024471936747431755
primary,93003,10,-0.15755597501993185,0.032045090571045876,-0.06275544222444299,-0.22483166679739952,0.0478078406304121,-0.08851191308349371
primary,93003,11,-0.039074245840311106,0.038131793960928945,-0.0004712259396910806,-0.037998126819729805,0.02998510934412474,-0.004006508737802533
primary,93003,12,-0.014854174107313156,-0.024213901720941067,-0.01953403791412711,-0.04052876681089401,-0.03813963942229742,-0.03933420311659572
primary,93003,13,0.02790370024740696,0.15628669224679476,0.09209519624710086,0.031083857640624046,0.2130239438265562,0.12205390073359013
primary,93003,14,-0.00872397050261503,0.10054888483136892,0.045912457164376946,-0.042046885937452316,0.13228503987193108,0.04511907696723938
primary,93003,15,-0.060127863660454806,-0.0486679673194885,-0.05439791548997165,-0.07560450211167336,-0.06273537501692772,-0.06916993856430054
primary,93003,16,-0.00033684074878687076,-0.03407364711165434,-0.017205243930220604,-0.01118403673171997,-0.049391584470868166,-0.03028781060129407
primary,93003,17,0.07873077690601349,0.11925433762371546,0.09899255726486447,0.11308233067393303,0.1474901009351015,0.13028621580451727
primary,93003,18,0.04663126915693283,0.026441883295774515,0.03653657622635367,0.05340172350406647,0.010434756055474281,0.031918239779770374
primary,93003,19,0.10613838583230972,0.016585882753133774,0.06136213429272175,0.13624510169029236,0.013630416244268417,0.07493775896728039
primary,93004,0,-0.03552136942744255,-0.009899679571390207,-0.02271052449941638,-0.0597650408744812,-0.01120316050946707,-0.035484100691974135
primary,93005,0,0.01734534278512001,-0.0019900519400835037,0.007677645422518253,0.04487361200153828,-0.028343668207526207,0.008264971897006035
primary,93006,0,0.07501696795225143,-0.07979747839272028,-0.002390255220234422,0.08073725923895836,-0.10100657679140568,-0.01013465877622366
primary,93007,0,0.01446271501481533,0.10299833118915563,0.05873052310198548,0.022390685975551605,0.12973855808377266,0.07606462202966213
primary,93008,0,0.0647850688546896,0.05226203612983232,0.05852355249226096,0.06422077678143978,0.07254892773926258,0.06838485226035118
primary,93009,0,-0.0025094598531723022,0.10096639208495617,0.04922846611589193,-0.006812430918216705,0.14014956913888454,0.06666856911033392
primary,93010,0,-0.012824593111872673,0.10138050653040409,0.04427795670926571,-0.015416814014315605,0.12759589962661266,0.05608954280614853
primary,93011,0,-0.022914288565516472,0.060307549312710707,0.018696630373597117,-0.028485048562288284,0.07227097637951374,0.021892963908612728
primary,93012,0,0.08623279072344309,-0.00703020766377449,0.0396012915298343,0.10568894259631634,-0.0047739166766405106,0.050457512959837914
random_null,93001,0,-0.004819885827600956,0.07432691566646099,0.03475351491943002,0.02222473919391632,0.10876751411706215,0.06549612665548923
random_null,93002,0,-0.004083106294274358,0.03210978442803028,0.014013339066877961,-0.010104501619935036,0.06207892671227458,0.02598721254616977
random_null,93003,0,0.000369521789252758,0.0870107505470514,0.04369013616815208,0.012246178463101387,0.15697826724499467,0.08461222285404803
random_null,93004,0,0.033787529449909925,-0.0220293158199638,0.005879106814973063,0.023363275453448296,-0.03646233677864075,-0.006549530662596226
random_null,93005,0,0.09671641793102029,0.0068285634042695165,0.05177249066764491,0.18393967673182493,0.0047502825036644936,0.0943449796177447
random_null,93006,0,0.1779164215549827,-0.10132760205306116,0.03829440975096077,0.273408361710608,-0.18273816490545874,0.04533509840257463
random_null,93007,0,0.04630335327237846,0.05021754000335929,0.04826044663786887,0.05889311013743287,0.1091794185340404,0.08403626433573663
random_null,93008,0,-0.05066131008788943,0.037228599423542647,-0.006716355332173393,-0.06967460084706548,0.0572797330096364,-0.006197433918714537
random_null,93009,0,-0.015080077573657064,-0.0345649030059576,-0.024822490289807334,-0.02440745383501053,-0.05130569823086262,-0.03785657603293657
random_null,93010,0,-0.03142544161528349,0.0993728786706925,0.033973718527704505,-0.0645995233207941,0.19565300084650517,0.06552673876285553
random_null,93011,0,0.24708365648984915,-0.034656350035220385,0.10621365322731437,0.38676067814230924,-0.056514227762818336,0.16512322518974543
random_null,93012,0,0.13353995699435478,-0.011288211913779406,0.061125872540287694,0.2087651900947094,-0.017498944886028767,0.09563312260434031
