graph_seed,regime,noise_seed,lif_bias,hh_bias,lif_rate_hz,hh_rate_hz,absolute_rate_difference_hz,absolute_log_rate_ratio
92003,transition_mid,8501,1.25,9.5,51.63671875,68.48436737060547,16.84764862060547,0.281896871173003
92003,transition_mid,8501,1.3,9.5,54.693355560302734,68.48436737060547,13.791011810302734,0.2244956901649363
92003,transition_mid,8501,1.35,9.5,57.474609375,68.48436737060547,11.009757995605469,0.174982966813091
92003,transition_mid,8501,1.4,9.5,60.380855560302734,68.48436737060547,8.103511810302734,0.1257377499278308
92003,transition_mid,8501,1.45,9.5,63.126949310302734,68.48436737060547,5.357418060302734,0.0813340044658114
92003,transition_mid,8501,1.5,9.5,65.81249237060547,68.48436737060547,2.671875,0.0397366387618414
92003,transition_mid,8501,1.55,9.5,68.55077362060547,68.48436737060547,0.06640625,0.0009677733371101
92003,transition_mid,8501,1.6,9.5,71.15233612060547,68.48436737060547,2.66796875,0.0381629784007979
92003,transition_mid,8501,1.65,9.5,73.72264862060547,68.48436737060547,5.23828125,0.0736009485347905
92003,transition_mid,8501,1.7,9.5,76.28905487060547,68.48436737060547,7.8046875,0.1077747971856297
92003,transition_mid,8501,1.75,9.5,78.86913299560547,68.48436737060547,10.384765625,0.1409924266727648
92003,transition_mid,8501,1.8,9.5,81.27538299560547,68.48436737060547,12.791015625,0.1710081792007977
92003,transition_mid,8501,1.85,9.5,83.71678924560547,68.48436737060547,15.232421875,0.2005687085456844
92003,transition_mid,8501,1.9,9.5,86.12109375,68.48436737060547,17.63672637939453,0.2288502269422414
92003,transition_mid,8501,1.95,9.5,88.5234375,68.48436737060547,20.03907012939453,0.2563317263633497
92003,transition_mid,8501,2.0,9.5,90.87890625,68.48436737060547,22.39453887939453,0.2825630523285765
92003,transition_mid,8502,1.0,9.5,35.695308685302734,68.60741424560547,32.912105560302734,0.6520402729564704
92003,transition_mid,8502,1.05,9.5,39.066402435302734,68.60741424560547,29.54101181030273,0.5620378169057006
92003,transition_mid,8502,1.1,9.5,42.48046875,68.60741424560547,26.12694549560547,0.4784614473720879
92003,transition_mid,8502,1.15,9.5,45.529296875,68.60741424560547,23.07811737060547,0.4093071299159815
92003,transition_mid,8502,1.2,9.5,48.703125,68.60741424560547,19.90428924560547,0.3420627677722783
92003,transition_mid,8502,1.25,9.5,51.625,68.60741424560547,16.98241424560547,0.2839158918347451
92003,transition_mid,8502,1.3,9.5,54.695308685302734,68.60741424560547,13.912105560302734,0.2262525331093819
92003,transition_mid,8502,1.35,9.5,57.482421875,68.60741424560547,11.124992370605469,0.176639770121361
92003,transition_mid,8502,1.4,9.5,60.371089935302734,68.60741424560547,8.236324310302734,0.1276917169464008
92003,transition_mid,8502,1.45,9.5,63.113277435302734,68.60741424560547,5.494136810302734,0.0833427503768882
92003,transition_mid,8502,1.5,9.5,65.81249237060547,68.60741424560547,2.794921875,0.0415291263601143
92003,transition_mid,8502,1.55,9.5,68.53905487060547,68.60741424560547,0.068359375,0.0009954297490797
92003,transition_mid,8502,1.6,9.5,71.14647674560547,68.60741424560547,2.5390625,0.036288253275272
92003,transition_mid,8502,1.65,9.5,73.71288299560547,68.60741424560547,5.10546875,0.0716761672412624
92003,transition_mid,8502,1.7,9.5,76.28514862060547,68.60741424560547,7.677734375,0.1059311720273292
92003,transition_mid,8502,1.75,9.5,78.85741424560547,68.60741424560547,10.25,0.1390515314732847
92003,transition_mid,8502,1.8,9.5,81.27928924560547,68.60741424560547,12.671875,0.1692636932966938
92003,transition_mid,8502,1.85,9.5,83.70702362060547,68.60741424560547,15.099609375,0.1986597025978516
92003,transition_mid,8502,1.9,9.5,86.119140625,68.60741424560547,17.51172637939453,0.2270350865679831
92003,transition_mid,8502,1.95,9.5,88.51953125,68.60741424560547,19.91211700439453,0.2544951608529522
92003,transition_mid,8502,2.0,9.5,90.875,68.60741424560547,22.26758575439453,0.2807276280318715
92003,sparse_drive,8501,1.0,9.5,36.714839935302734,68.44725036621094,31.732410430908203,0.6216222708436808
92003,sparse_drive,8501,1.05,9.5,40.117183685302734,68.44725036621094,28.330066680908203,0.5332289346924998
92003,sparse_drive,8501,1.1,9.5,43.48828125,68.44725036621094,24.958969116210938,0.4527349582851468
92003,sparse_drive,8501,1.15,9.5,46.728515625,68.44725036621094,21.718734741210938,0.3810309682457422
92003,sparse_drive,8501,1.2,9.5,49.83203125,68.44725036621094,18.615219116210938,0.3168605882031841
92003,sparse_drive,8501,1.25,9.5,52.93359375,68.44725036621094,15.513656616210938,0.2565977367456855
92003,sparse_drive,8501,1.3,9.5,55.869136810302734,68.44725036621094,12.578113555908203,0.2027228834223254
92003,sparse_drive,8501,1.35,9.5,58.832027435302734,68.44725036621094,9.615222930908203,0.1511385914562631
92003,sparse_drive,8501,1.4,9.5,61.671871185302734,68.44725036621094,6.775379180908203,0.1040751918093923
92003,sparse_drive,8501,1.45,9.5,64.46874237060547,68.44725036621094,3.9785079956054688,0.0597928643865805
92003,sparse_drive,8501,1.5,9.5,67.26757049560547,68.44725036621094,1.1796798706054688,0.017359541631286
92003,sparse_drive,8501,1.55,9.5,69.92967987060547,68.44725036621094,1.4824295043945312,0.0213958564960989
92003,sparse_drive,8501,1.6,9.5,72.59374237060547,68.44725036621094,4.146492004394531,0.0587320123097045
92003,sparse_drive,8501,1.65,9.5,75.24608612060547,68.44725036621094,6.798835754394531,0.0945686872209713
92003,sparse_drive,8501,1.7,9.5,77.84764862060547,68.44725036621094,9.400398254394531,0.1285141359794984
92003,sparse_drive,8501,1.75,9.5,80.34764862060547,68.44725036621094,11.900398254394531,0.1600833513324452
92003,sparse_drive,8501,1.8,9.5,82.80272674560547,68.44725036621094,14.355476379394531,0.19014465974296
92003,sparse_drive,8501,1.85,9.5,85.259765625,68.44725036621094,16.812515258789062,0.2193515674227854
92003,sparse_drive,8501,1.9,9.5,87.666015625,68.44725036621094,19.218765258789062,0.2471510660943404
92003,sparse_drive,8501,1.95,9.5,90.068359375,68.44725036621094,21.621109008789062,0.2741552887046239
92003,sparse_drive,8501,2.0,9.5,92.455078125,68.44725036621094,24.007827758789062,0.3002806126610434
92003,sparse_drive,8502,1.0,9.5,36.726558685302734,68.44335174560547,31.71679306030273,0.6212471290104619
92003,sparse_drive,8502,1.05,9.5,40.113277435302734,68.44335174560547,28.33007431030273,0.5332691917343066
92003,sparse_drive,8502,1.1,9.5,43.482421875,68.44335174560547,24.96092987060547,0.4528125162313131
92003,sparse_drive,8502,1.15,9.5,46.7265625,68.44335174560547,21.71678924560547,0.3810158005873664
92003,sparse_drive,8502,1.2,9.5,49.810546875,68.44335174560547,18.63280487060547,0.3172340766431543
92003,sparse_drive,8502,1.25,9.5,52.927734375,68.44335174560547,15.515617370605469,0.2566513505096977
92003,sparse_drive,8502,1.3,9.5,55.859375,68.44335174560547,12.583976745605469,0.2028404362446563
92003,sparse_drive,8502,1.35,9.5,58.832027435302734,68.44335174560547,9.611324310302734,0.1510817149009566
92003,sparse_drive,8502,1.4,9.5,61.669918060302734,68.44335174560547,6.773433685302734,0.1040499341097308
92003,sparse_drive,8502,1.45,9.5,64.45702362060547,68.44335174560547,3.986328125,0.0599174969195989
92003,sparse_drive,8502,1.5,9.5,67.24217987060547,68.44335174560547,1.201171875,0.0176796329677862
92003,sparse_drive,8502,1.55,9.5,69.93749237060547,68.44335174560547,1.494140625,0.0215642866707596
92003,sparse_drive,8502,1.6,9.5,72.59178924560547,68.44335174560547,4.1484375,0.0587620206480929
92003,sparse_drive,8502,1.65,9.5,75.24217987060547,68.44335174560547,6.798828125,0.0945737183326374
92003,sparse_drive,8502,1.7,9.5,77.83788299560547,68.44335174560547,9.39453125,0.1284457202782176
92003,sparse_drive,8502,1.75,9.5,80.35350799560547,68.44335174560547,11.91015625,0.1602130598688987
92003,sparse_drive,8502,1.8,9.5,82.80077362060547,68.44335174560547,14.357421875,0.1901779767835908
92003,sparse_drive,8502,1.85,9.5,85.25,68.44335174560547,16.80664825439453,0.2192940319528058
92003,sparse_drive,8502,1.9,9.5,87.666015625,68.44335174560547,19.22266387939453,0.2472079426496472
92003,sparse_drive,8502,1.95,9.5,90.06640625,68.44335174560547,21.62305450439453,0.2741905041565565
92003,sparse_drive,8502,2.0,9.5,92.45703125,68.44335174560547,24.01367950439453,0.3003585912934282
