graph_seed,graph_id,coupling,noise_sigma,method_label,rhythm_score,mean_rate_hz,dominant_frequency_hz,silent_fraction,synchrony_proxy,spectral_concentration,spectral_entropy,n_noise
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.0,A_pool,0.40317641384899616,20.6895325978597,69.52083333333333,0.0,0.9133979653318723,0.733014083156983,0.2546010004977385,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.0,A_shared,0.43870575663944084,20.622475306193035,69.52083333333333,0.0,0.9182129527131716,0.7729403078556061,0.2315580310920874,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.0,A_sparse,0.34831735119223595,20.796873092651367,69.4375,0.0,0.9438553328315417,0.6622379931310812,0.29703622808059055,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.0,shared_random,0.20293395873159167,20.3067200978597,69.54166666666667,0.0,0.6455992584427198,0.5701862275600433,0.4112717440972726,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.0,spectral,0.3600149694830179,20.702553431193035,69.4375,0.0,0.9945787390073141,0.6496919418374697,0.28789268123606837,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.2,A_mid,0.3346123055865367,20.616046110788982,69.625,0.0,0.8824018190304438,0.6505606199304262,0.2987897507846355,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.2,A_pool,0.40850506474574405,20.701820929845173,69.5,0.0,0.8951212912797928,0.7474057426055273,0.2454852691541115,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.2,A_shared,0.37262701988220215,20.63338017463684,69.54166666666667,0.0,0.8935400545597076,0.7000180321435133,0.2750844930609067,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.2,A_sparse,0.3212990922232469,20.793129603068035,69.39583333333333,0.0,0.9439230312903722,0.6203526643415292,0.3103384015460809,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.2,shared_random,0.1726250372206171,20.3277161916097,69.54166666666667,0.0,0.6276091312368711,0.5294198095798492,0.4388126606742541,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.2,spectral,0.4271910171955824,20.721840540568035,69.47916666666667,0.0,0.9827888657649358,0.7435450802246729,0.24982867886622742,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,0.8,A_mid,0.2621660586446523,20.985268036524456,69.77083333333333,0.0,0.8774701083699862,0.5601697266101837,0.3516537838925918,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,0.8,A_pool,0.4510555913050969,21.00658981005351,69.54166666666667,0.0,0.941903625925382,0.7832207977771759,0.23109201093514756,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,0.8,A_shared,0.3648530176530282,20.989011526107788,69.58333333333333,0.0,0.9073823789755503,0.6970682442188263,0.2873800080269575,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,0.8,A_sparse,0.3479000919808944,21.135009765625,69.41666666666667,0.0,0.9905259609222412,0.6403093660871187,0.29629674367606634,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,0.8,shared_random,0.1344556929543614,20.661863327026367,69.77083333333333,0.0,0.6452976937095324,0.442850844313701,0.4722631325324376,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,0.8,spectral,0.34779525361955166,21.073649009068806,69.47916666666667,0.0,0.9556020547946295,0.6553345633049806,0.29817546096940833,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.0,A_mid,0.26358749593297637,21.002439260482788,69.77083333333333,0.0,0.856546680132548,0.5666918928424517,0.34490066207945347,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.0,A_pool,0.4097863386074702,21.01375158627828,69.54166666666667,0.0,0.9284549628694853,0.7385107030471166,0.25757666118443007,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.0,A_shared,0.33534256493051845,20.993080854415894,69.60416666666667,0.0,0.8945539544026057,0.6552968248724937,0.30268888982633746,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.0,A_sparse,0.3814284677306811,21.151204427083332,69.5,0.0,0.9716569359103838,0.6919758406778177,0.27553211152553553,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.0,shared_random,0.1383068924769759,20.671791712443035,69.79166666666667,0.0,0.6337757383783659,0.4566936766107877,0.46633834888537723,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.0,spectral,0.3805885606755813,21.09122673670451,69.54166666666667,0.0,0.9463584696253141,0.7009321649869283,0.2770874494065841,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.2,A_mid,0.26424525491893286,21.008380095163982,69.77083333333333,0.0,0.8553868581851324,0.5711356389025847,0.3439525117476781,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.2,A_pool,0.3713274697462718,21.023110389709473,69.54166666666667,0.0,0.8980772867798805,0.7121952387193838,0.2838931437581777,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.2,A_shared,0.32442659450074035,21.0081361134847,69.625,0.0,0.8757030516862869,0.6440250662465891,0.3086719860633214,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.2,A_sparse,0.366852546731631,21.156005859375,69.47916666666667,0.0,0.9650055542588234,0.6708160862326622,0.28185061986247695,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.2,shared_random,0.13291899425288037,20.680418014526367,69.72916666666667,0.0,0.6322213883201281,0.43241780002911884,0.4675235264003277,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.2,spectral,0.42292382133503753,21.095051924387615,69.52083333333333,0.0,0.9315565899014473,0.7580286785960197,0.2477750560889641,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,0.8,A_mid,0.2748775407671928,21.364174207051594,70.08333333333333,0.0,0.8301988914608955,0.601857545475165,0.34439870715141296,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,0.8,A_pool,0.30342960543930525,21.386391798655193,69.60416666666667,0.0,0.887778619925181,0.6106509206195673,0.32549577330549556,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,0.8,A_shared,0.27167944951603806,21.34415610631307,69.625,0.0,0.8844310492277145,0.5809125366310278,0.356821005543073,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,0.8,A_sparse,0.35867874572674435,21.478108565012615,69.45833333333333,0.0,0.9919200415412585,0.667099212606748,0.29973462720712024,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,0.8,shared_random,0.14952061759928859,21.016355752944946,69.85416666666667,0.0,0.6500809515515963,0.47443870455026627,0.45489509776234627,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,0.8,spectral,0.3314448129385709,21.42285092671712,69.47916666666667,0.0,0.9780404592553774,0.6308576936523119,0.3196830612917741,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.0,A_mid,0.27654126038153964,21.370765686035156,70.0625,0.0,0.817069078485171,0.5973926993707815,0.3305817078799009,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.0,A_pool,0.3232428139696518,21.405598322550457,69.625,0.0,0.8733518794178963,0.6496563715239366,0.3144822667042414,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.0,A_shared,0.2360946489498019,21.368000348409016,69.70833333333333,0.0,0.8644929205377897,0.5216191783547401,0.37411630650361377,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,1.0,A_sparse,0.37168960521618527,21.485432783762615,69.5,0.0,0.9757251987854639,0.6812249856690565,0.2885365262627601,24
