session_id,state,target,rho,p,n,full_logloss
sub-Forssmann_ses-20171101T120000,decision,outcome,-0.15456941574717892,1.5988070989842467e-12,2067,0.8828835207050677
sub-Forssmann_ses-20171101T120000,movement,choice,0.03110558757482322,0.15745602996104535,2067,0.1219024071976443
sub-Forssmann_ses-20171101T120000,movement,engagement,0.100702281176314,4.491201494180046e-06,2067,0.1645825418273689
sub-Forssmann_ses-20171101T120000,movement,outcome,-0.09922735934278455,6.191894045177923e-06,2067,0.2317477567379553
sub-Forssmann_ses-20171101T120000,outcome,choice,0.036001754475118344,0.10176972895917032,2067,0.1725531439939536
sub-Forssmann_ses-20171101T120000,outcome,engagement,0.15699271454697694,7.084566419194068e-13,2067,0.1675099699162817
sub-Forssmann_ses-20171101T120000,outcome,outcome,-0.11417834156173776,1.9407556765676324e-07,2067,0.1417709847364185
sub-Forssmann_ses-20171101T120000,visual,choice,-0.04679667348151065,0.03338227808490432,2067,1.127981651345249
sub-Forssmann_ses-20171101T120000,visual,engagement,0.02866217681681165,0.19271670930263332,2067,0.1984218782335427
sub-Forssmann_ses-20171101T120000,visual,outcome,-0.09570266748047929,1.3100061124122375e-05,2067,0.983120073425044
sub-Forssmann_ses-20171102T120000,baseline,choice,-0.01496079858193248,0.5539919013780958,1567,1.687323323102388
sub-Forssmann_ses-20171102T120000,baseline,engagement,0.08662586790799323,0.0005973088269934574,1567,0.16021763451572
sub-Forssmann_ses-20171102T120000,baseline,outcome,-0.05063271317654317,0.04507009143693734,1567,1.0031357898163191
sub-Forssmann_ses-20171102T120000,decision,choice,0.07410562273954771,0.0033334070941269524,1567,0.0839673610667941
sub-Forssmann_ses-20171102T120000,decision,engagement,0.16367720433615343,7.12260026071882e-11,1567,0.1410764863915928
sub-Forssmann_ses-20171102T120000,decision,outcome,-0.06493199325181333,0.010140004384790055,1567,0.8347024574557318
sub-Forssmann_ses-20171102T120000,movement,choice,0.0053448878463414175,0.8325658473872255,1567,0.1281694949957775
sub-Forssmann_ses-20171102T120000,movement,engagement,0.12094018752063139,1.5766071336567047e-06,1567,0.1215636301105406
sub-Forssmann_ses-20171102T120000,movement,outcome,-0.08454320271306859,0.0008081137561300052,1567,0.1164981960675134
sub-Forssmann_ses-20171102T120000,outcome,choice,0.013062048243156975,0.6053829202728572,1567,0.1948629037141236
sub-Forssmann_ses-20171102T120000,outcome,engagement,0.13933476448048487,3.0550984882567146e-08,1567,0.1279877728616985
sub-Forssmann_ses-20171102T120000,outcome,outcome,-0.04554980193456888,0.07145079948485485,1567,0.0698579751131545
sub-Forssmann_ses-20171102T120000,visual,choice,-0.06269002142096111,0.013062243108385224,1567,1.0178187222032384
sub-Forssmann_ses-20171102T120000,visual,engagement,0.10337254628842449,4.13578108674025e-05,1567,0.1711586705292669
sub-Forssmann_ses-20171102T120000,visual,outcome,-0.014524558559552939,0.5656083697748362,1567,1.087864837290772
sub-Forssmann_ses-20171104T120000,baseline,choice,-0.045951656128280054,0.08194551544198135,1434,1.8759180567401128
sub-Forssmann_ses-20171104T120000,baseline,outcome,0.016611665448762084,0.5296446502439226,1434,1.101867815813905
sub-Forssmann_ses-20171104T120000,decision,choice,0.12181179278630308,3.7278441266539225e-06,1434,0.0973715856925653
sub-Forssmann_ses-20171104T120000,decision,outcome,-0.0372589892299568,0.15848363640068128,1434,0.9869291692405688
sub-Forssmann_ses-20171104T120000,movement,choice,0.155256994070214,3.4201315549617142e-09,1434,0.1023749136978868
sub-Forssmann_ses-20171104T120000,movement,outcome,0.08372849369546707,0.0015063605549760694,1434,0.0392904468100781
sub-Forssmann_ses-20171104T120000,outcome,choice,0.10838624963600449,3.906624602559435e-05,1434,0.1120031112613346
sub-Forssmann_ses-20171104T120000,outcome,outcome,0.0966413073017185,0.00024731768754927705,1434,0.017480156618958
sub-Forssmann_ses-20171104T120000,visual,choice,0.0001898129408801596,0.9942699575459188,1434,1.0171821646124994
sub-Forssmann_ses-20171104T120000,visual,outcome,-0.042994544894902884,0.1036397629678176,1434,0.9955361901790089
sub-Forssmann_ses-20171105T120000,baseline,choice,-0.021853986080635327,0.4841884758807875,1027,1.5960551164488503
sub-Forssmann_ses-20171105T120000,baseline,engagement,0.10455166740338498,0.0007917278635376523,1027,0.0617574749637808
sub-Forssmann_ses-20171105T120000,baseline,outcome,-0.06215263739575335,0.04644841869712004,1027,1.1140929333273852
sub-Forssmann_ses-20171105T120000,decision,choice,0.0779902528056413,0.012415606367942488,1027,0.1751146333142021
sub-Forssmann_ses-20171105T120000,decision,engagement,0.2565187588630824,6.784642478875153e-17,1027,0.055363654145038
sub-Forssmann_ses-20171105T120000,decision,outcome,0.025347720154452455,0.4171041526672741,1027,0.910047729837494
sub-Forssmann_ses-20171105T120000,movement,choice,0.17115102243953745,3.4105009045849496e-08,1027,0.1716624861027893
sub-Forssmann_ses-20171105T120000,movement,engagement,0.2399857382939991,6.409426784401591e-15,1027,0.06876933813043
sub-Forssmann_ses-20171105T120000,movement,outcome,0.08805832341950925,0.004742219044305481,1027,0.1666886647909304
sub-Forssmann_ses-20171105T120000,outcome,choice,0.19678727624984357,2.004066687351842e-10,1027,0.2503756091883746
sub-Forssmann_ses-20171105T120000,outcome,engagement,0.23164963516232037,5.6014642142556616e-14,1027,0.0567773468302431
sub-Forssmann_ses-20171105T120000,outcome,outcome,0.06918582178458375,0.02661325319145499,1027,0.0467292087761315
sub-Forssmann_ses-20171105T120000,visual,choice,-0.00982115962276748,0.7532465494812077,1027,1.2054203452177066
sub-Forssmann_ses-20171105T120000,visual,engagement,0.12974843323200994,3.0379240500367442e-05,1027,0.0808312276527283
sub-Forssmann_ses-20171105T120000,visual,outcome,-0.019787955278194082,0.5264520956740618,1027,1.2054967506812453
sub-Hench_ses-20170615T120000,baseline,choice,-0.07732148743653766,0.0014530831902061433,1693,1.3504118056824763
sub-Hench_ses-20170615T120000,baseline,engagement,0.046496208685846724,0.05577900630804999,1693,0.1272635376841671
sub-Hench_ses-20170615T120000,baseline,outcome,-0.06590251056267211,0.006676238079256445,1693,0.9912545676061878
sub-Hench_ses-20170615T120000,decision,choice,-0.015664426078059724,0.5195149844854815,1693,0.1313413805783348
sub-Hench_ses-20170615T120000,decision,engagement,0.14952938592641024,6.297677640336302e-10,1693,0.1074732324941183
sub-Hench_ses-20170615T120000,decision,outcome,-0.09281355917305234,0.0001311170494495987,1693,0.897084676923161
sub-Hench_ses-20170615T120000,movement,choice,-0.04333708124564315,0.07463978250882118,1693,0.115701495378562
sub-Hench_ses-20170615T120000,movement,engagement,0.11472333656778899,2.21703438880231e-06,1693,0.0667327824009098
sub-Hench_ses-20170615T120000,movement,outcome,-0.05673471578388787,0.019566022646029954,1693,0.0903582117857758
sub-Hench_ses-20170615T120000,outcome,choice,-0.047370423691851536,0.051323886772333314,1693,0.1200588450835347
sub-Hench_ses-20170615T120000,outcome,engagement,-0.02182465281373076,0.36948280275236434,1693,0.0694293586337033
sub-Hench_ses-20170615T120000,outcome,outcome,-0.0002235226853232745,0.9926673128403574,1693,0.0376765739521397
sub-Hench_ses-20170615T120000,visual,choice,-0.10050923178496456,3.4278996530980246e-05,1693,0.7906725562200179
sub-Hench_ses-20170615T120000,visual,engagement,0.12675415000156812,1.6704916833261645e-07,1693,0.1523992556363714
sub-Hench_ses-20170615T120000,visual,outcome,-0.05815203645474382,0.016711862977328105,1693,0.9489400940196056
sub-Hench_ses-20170616T120000,baseline,choice,-0.06222989551582991,0.021634203238682093,1362,1.735414744733675
sub-Hench_ses-20170616T120000,baseline,engagement,0.05294850919158777,0.05074189838008104,1362,0.1525174762800515
sub-Hench_ses-20170616T120000,baseline,outcome,-0.05567172538416751,0.03994785508118598,1362,1.2561067380594264
sub-Hench_ses-20170616T120000,decision,choice,0.04713599592405136,0.08204589612417386,1362,0.0870119829566338
