subject,C,rho_cross
620334,1.0,0.1076432290224913
620334,4.0,0.1028590769932551
620334,0.25,0.073162113026843
620334,1.0,0.0695210765135441
620334,4.0,0.065833031974769
625545,0.25,0.0795520486701076
625545,1.0,0.0804855233310564
625545,4.0,0.0814028859518953
625545,0.25,0.0739377727109124
625545,1.0,0.0744307073792463
625545,4.0,0.0747050039210979
625545,0.25,0.0230323581643106
625545,1.0,0.0221776262397807
625545,4.0,0.0224896538778628
625545,0.25,0.0525650356533535
625545,1.0,0.0510664123518762
625545,4.0,0.0504455885806283
625545,0.25,0.0838471991932286
625545,1.0,0.0876250120960375
625545,4.0,0.0903018319681585
625545,0.25,0.0905003836444634
625545,1.0,0.0903772903694417
625545,4.0,0.0893452757893626
625545,0.25,0.0801585306216604
625545,1.0,0.0809667475659598
625545,4.0,0.0817031137069482
625545,0.25,0.073946844159491
625545,1.0,0.0732290912718965
625545,4.0,0.0728948197411197
625545,0.25,0.0828147369000511
625545,1.0,0.0817172706274297
625545,4.0,0.0813474800942481
625545,0.25,0.0427552294834854
625545,1.0,0.0415325438658523
625545,4.0,0.0401782314450091
625545,0.25,0.0870848680529296
625545,1.0,0.0867843453775851
625545,4.0,0.0864285372445453
625545,0.25,0.0569447513045221
625545,1.0,0.0545669116289251
625545,4.0,0.0535766864453405
625554,0.25,0.1726243485251513
625554,1.0,0.1688054962646907
625554,4.0,0.1661646700553198
625554,0.25,0.1047006178810764
625554,1.0,0.0981604139959349
625554,4.0,0.0928467259013186
625554,0.25,0.0771715984831794
625554,1.0,0.0749536350346549
625554,4.0,0.0737073132679343
625554,0.25,0.1193130799405664
625554,1.0,0.1176442964240877
625554,4.0,0.1163270003269969
625554,0.25,0.1247690631596358
625554,1.0,0.1220839118380936
625554,4.0,0.1209345902431427
625554,0.25,0.0970598023049122
625554,1.0,0.0975551857170453
625554,4.0,0.097361143828788
625554,0.25,0.0870119648300624
625554,1.0,0.0846472557058656
625554,4.0,0.0833021830877537
625554,0.25,0.1244059910722145
625554,1.0,0.1248117710920582
625554,4.0,0.1240466617999113
625554,0.25,0.0994954080516901
625554,1.0,0.0980751257655932
625554,4.0,0.0969307519789597
625554,0.25,0.1237873113553372
625554,1.0,0.1209291064853802
625554,4.0,0.1181936772568257
625554,0.25,0.0889913729094232
625554,1.0,0.085393258385615
625554,4.0,0.0835030046390018
625554,0.25,0.1144796846961946
625554,1.0,0.1123011168803967
625554,4.0,0.109658226627817
625555,0.25,0.0615987240269683
625555,1.0,0.0609421738327769
625555,4.0,0.0604993247869261
625555,0.25,0.0832259754724092
625555,1.0,0.0827170792367931
625555,4.0,0.0824865986566024
625555,0.25,0.0974580811382952
625555,1.0,0.0988975472755877
625555,4.0,0.0995675047639679
625555,0.25,0.0918272827727171
625555,1.0,0.0942327144489202
625555,4.0,0.095874629793312
625555,0.25,0.0846640431107456
625555,1.0,0.0865939317013176
625555,4.0,0.0873390664236283
625555,0.25,0.0477686319497811
625555,1.0,0.0499361769819989
625555,4.0,0.0517964283066504
625555,0.25,0.0788449539944581
625555,1.0,0.0797702307627088
625555,4.0,0.0802413841194385
625555,0.25,0.0531604374308455
625555,1.0,0.0543768934229578
625555,4.0,0.054991634584181
625555,0.25,0.0555656005444124
625555,1.0,0.0574371895604869
625555,4.0,0.0586430627432954
625555,0.25,0.0825221853142748
625555,1.0,0.0817547856428114
625555,4.0,0.0816581104877494
625555,0.25,0.0774520527670705
625555,1.0,0.0788404043272853
625555,4.0,0.0795872058716527
625555,0.25,0.0683095398955227
625555,1.0,0.0695395912565836
625555,4.0,0.0696364213302083
630506,0.25,0.0974092085220282
630506,1.0,0.0959010578576106
630506,4.0,0.0940170321043407
630506,0.25,0.1054635636338845
630506,1.0,0.1030288857494169
