variant,graph_seed,repeat,rhythm_score_mid_home_advantage,rhythm_score_sparse_home_advantage,rhythm_score_crossover_interaction,alternative_spectral_score_mid_home_advantage,alternative_spectral_score_sparse_home_advantage,alternative_spectral_score_crossover_interaction
primary,93002,12,-0.0324492733925581,0.1021197382360697,0.0348352324217558,-0.0723717864602804,0.132361639291048,0.0299949264153838
primary,93002,13,-0.0131033267825841,-0.1135188564658165,-0.0633110916242003,-0.0378192774951458,-0.1262334324419498,-0.0820263549685478
primary,93002,14,0.0038895234465599,-0.0648810453712939,-0.030495760962367,-0.0305258184671401,-0.0639306157827377,-0.0472282171249389
primary,93002,15,0.0293399561196566,0.2178155463188886,0.1235777512192726,0.0388386994600296,0.2813940495252609,0.1601163744926452
primary,93002,16,-0.0385217145085335,0.1698744688183069,0.0656763771548867,-0.0625858567655086,0.2293598782271147,0.083387010730803
primary,93002,17,0.0060105305165052,0.1177690774202347,0.0618898039683699,0.0069302394986152,0.1558297853916883,0.0813800124451518
primary,93002,18,-0.1184878181666135,-0.0927677769213915,-0.1056277975440025,-0.1759176477789878,-0.122123260051012,-0.1490204539149999
primary,93002,19,0.0501574296504259,0.0630842484533786,0.0566208390519022,0.040945764631033,0.0945412665605545,0.0677435155957937
primary,93003,0,-0.0328719299286603,0.0570855922996997,0.0121068311855196,-0.0308335684239864,0.0529371835291386,0.011051807552576
primary,93003,1,-0.0779021773487329,0.0030890069901943,-0.0374065851792693,-0.1200010515749454,-0.0019090864807366,-0.060955069027841
primary,93003,2,0.1870041284710169,0.1289139557629824,0.1579590421169996,0.2536790370941162,0.1405998710542917,0.1971394540742039
primary,93003,3,0.0161861442029476,-0.083875373005867,-0.0338446144014597,0.0103318933397531,-0.1053326837718486,-0.0475003952160477
primary,93003,4,0.040797509253025,-0.0058495793491602,0.0174739649519324,0.0400161892175674,-0.0103661846369504,0.0148250022903084
primary,93003,5,0.1555568650364875,0.0615182220935821,0.1085375435650348,0.2073264271020889,0.0684810522943735,0.1379037396982312
primary,93003,6,0.0434747189283371,0.1182153262197971,0.0808450225740671,0.0461926907300949,0.165949534624815,0.1060711126774549
primary,93003,7,-0.0194943081587553,0.02259761095047,0.0015516513958573,-0.0221800543367862,0.0265230201184749,0.0021714828908443
primary,93003,8,-0.0221234578639268,-0.0807271338999271,-0.051425295881927,-0.0183591097593307,-0.1207451727241277,-0.0695521412417292
primary,93003,9,0.0027053244411945,-0.0533006470650434,-0.0252976613119244,0.0065439455211162,-0.0554878190159797,-0.0244719367474317
primary,93003,10,-0.1575559750199318,0.0320450905710458,-0.0627554422244429,-0.2248316667973995,0.0478078406304121,-0.0885119130834937
primary,93003,11,-0.0390742458403111,0.0381317939609289,-0.000471225939691,-0.0379981268197298,0.0299851093441247,-0.0040065087378025
primary,93003,12,-0.0148541741073131,-0.024213901720941,-0.0195340379141271,-0.040528766810894,-0.0381396394222974,-0.0393342031165957
primary,93003,13,0.0279037002474069,0.1562866922467947,0.0920951962471008,0.031083857640624,0.2130239438265562,0.1220539007335901
primary,93003,14,-0.008723970502615,0.1005488848313689,0.0459124571643769,-0.0420468859374523,0.132285039871931,0.0451190769672393
primary,93003,15,-0.0601278636604548,-0.0486679673194885,-0.0543979154899716,-0.0756045021116733,-0.0627353750169277,-0.0691699385643005
primary,93003,16,-0.0003368407487868,-0.0340736471116543,-0.0172052439302206,-0.0111840367317199,-0.0493915844708681,-0.030287810601294
primary,93003,17,0.0787307769060134,0.1192543376237154,0.0989925572648644,0.113082330673933,0.1474901009351015,0.1302862158045172
primary,93003,18,0.0466312691569328,0.0264418832957745,0.0365365762263536,0.0534017235040664,0.0104347560554742,0.0319182397797703
primary,93003,19,0.1061383858323097,0.0165858827531337,0.0613621342927217,0.1362451016902923,0.0136304162442684,0.0749377589672803
