placement,complexity_fraction,mean,std,n,median,sem,ci95
gpu_surrogate,0.09375,0.09877208911934482,0.040762992361302056,24,0.09715061325225376,0.008320710972846536,0.016308593506779212
gpu_surrogate,0.125,0.1321774483566943,0.06831694045119568,24,0.12241348964969176,0.013945137074461086,0.02733246866594373
gpu_surrogate,0.15625,0.1828913163927307,0.10276402776930112,24,0.15897036284842986,0.020976619328999066,0.04111417388483817
gpu_surrogate,0.1875,0.23444380908126528,0.13559094848445646,24,0.2197519343436071,0.027677386460576537,0.05424767746273001
gpu_surrogate,0.25,0.35867311140783126,0.172786260032925,24,0.35953202704725506,0.035269847637043064,0.0691289013686044
gpu_surrogate,0.375,0.4697378158336533,0.1691943981846816,24,0.4942157870403522,0.0345366619074792,0.06769185733865923
gpu_surrogate,0.5,0.45846663614840377,0.11916574280976262,24,0.441967807463322,0.024324605391970986,0.04767622656826313
gpu_surrogate,0.75,0.5724071846129487,0.1605272943101138,24,0.546846595600128,0.03276749673744669,0.0642242936053955
high_degree,0.00390625,0.045243230052515064,0.012512809703953146,24,0.043610802157055956,0.002554166585269254,0.005006166507127738
high_degree,0.0078125,0.06059434075649972,0.023053572557448356,24,0.0521677012615867,0.004705790792831459,0.00922334995394966
high_degree,0.015625,0.08454953802001514,0.04284855011375881,24,0.06437790058671561,0.0087464236663986,0.017142990386141255
high_degree,0.03125,0.09323101539469913,0.034189678572463036,24,0.08496420317252625,0.006978938914358503,0.013678720272142664
high_degree,0.0625,0.08387578873506206,0.04659843907293945,24,0.07330945097266539,0.009511866544906005,0.018643258428015768
high_degree,0.09375,0.09171678062191528,0.04602891079575664,24,0.09328827077865945,0.009395612072140649,0.01841539966139567
high_degree,0.125,0.12392153222933733,0.07379917029032608,24,0.09895229713246656,0.015064192554338567,0.02952581740650359
high_degree,0.15625,0.16548158119668804,0.10392016042276765,24,0.125949471401376,0.021212613918662648,0.041576723280578785
high_degree,0.1875,0.2221086303600044,0.13025392893887666,24,0.2071540551532152,0.026587971907748947,0.05211242493918793
high_degree,0.25,0.34929173727665513,0.20116951301697836,24,0.3303676754719799,0.04106355489131463,0.08048456758697667
high_degree,0.375,0.46622084969149474,0.19116431490488317,24,0.5124607985939457,0.03902125237880706,0.07648165466246185
high_degree,0.5,0.4582020327321834,0.13683031359021325,24,0.5000979620627326,0.027930370803419424,0.05474352677470207
high_degree,0.75,0.5654534927524939,0.17112854139725067,24,0.560397123299412,0.034931467237501006,0.06846567578550197
module_bridge,0.00390625,0.046531027184699876,0.01572327827977632,24,0.0412387414099781,0.003209500739103136,0.006290621448642147
module_bridge,0.0078125,0.05837137557593105,0.02176654074354259,24,0.049877919388599395,0.004443076523931643,0.008708429986906019
module_bridge,0.015625,0.0837499096644241,0.04170669377946617,24,0.06436094598676564,0.008513343218183447,0.016686152707639554
module_bridge,0.03125,0.09348005154954205,0.031373382315075894,24,0.09326641175866521,0.006404064848099464,0.01255196710227495
module_bridge,0.0625,0.08720343313927144,0.04144568459531534,24,0.0772031216067473,0.008460064941570975,0.01658172728547911
module_bridge,0.09375,0.09622114862264601,0.0440247310370484,24,0.10368522995690395,0.008986510592003191,0.017613560760326254
module_bridge,0.125,0.12336343037464177,0.0769164258261111,24,0.1011118134832755,0.01570049967605019,0.030772979365058375
module_bridge,0.15625,0.16763288388095976,0.10651106025119908,24,0.142266703522135,0.02174147913152277,0.04261329909778463
module_bridge,0.1875,0.22979597397768467,0.1316258905926182,24,0.21960652115580026,0.026868022407609927,0.052661323918915454
module_bridge,0.25,0.33786789438836173,0.18774330216586238,24,0.32941112117991944,0.0383229410776269,0.07511296451214872
module_bridge,0.375,0.4571533310894227,0.18606755524555108,24,0.4867399163739943,0.03798088066989331,0.07444252611299089
module_bridge,0.5,0.47156830807448896,0.14407105922403654,24,0.47168770706497243,0.029408381816765444,0.05764042836086027
