subject,C,rho_within
625554,0.25,0.133242822784511
625554,1.0,0.1338198150333242
625554,4.0,0.1338936239511476
625554,0.25,0.0983886991525241
625554,1.0,0.0970327831397937
625554,4.0,0.097146921757078
625554,0.25,0.0978824901033929
625554,1.0,0.0936362498718121
625554,4.0,0.0907339622481865
625554,0.25,0.1458527275641506
625554,1.0,0.1441400759166409
625554,4.0,0.1432415697178352
625554,0.25,0.1281603538343084
625554,1.0,0.1277650883248254
625554,4.0,0.1253457057286501
625554,0.25,0.10398421269043
625554,1.0,0.1051553702070539
625554,4.0,0.1052557263831493
625554,0.25,0.1158978430344848
625554,1.0,0.1147418232887715
625554,4.0,0.1144583307165807
625554,0.25,0.1258066189838235
625554,1.0,0.1256637951174853
625554,4.0,0.1245809547194664
625555,0.25,0.1163157066392717
625555,1.0,0.1142231541718187
625555,4.0,0.1129409768639069
625555,0.25,0.1221558280174354
625555,1.0,0.1235791986123835
625555,4.0,0.1248114719767606
625555,0.25,0.0837679079184027
625555,1.0,0.0836451756568116
625555,4.0,0.083427561691495
625555,0.25,0.1150424102206465
625555,1.0,0.1156062603355187
625555,4.0,0.1164143957800332
625555,0.25,0.0702740164245615
625555,1.0,0.0737226170746012
625555,4.0,0.0763655705449258
625555,0.25,0.1050423288898842
625555,1.0,0.106064928112133
625555,4.0,0.1072110984674129
625555,0.25,0.0730399662872931
625555,1.0,0.0729022796774013
625555,4.0,0.0732378182469642
625555,0.25,0.1191293804175092
625555,1.0,0.1212031435762524
625555,4.0,0.122254091845648
625555,0.25,0.1209453655643367
625555,1.0,0.1205663919887048
625555,4.0,0.1207462008370282
625555,0.25,0.0726500326947188
625555,1.0,0.0727604593399438
625555,4.0,0.0737167024269263
625555,0.25,0.0706603952534629
625555,1.0,0.0688489187518162
625555,4.0,0.0689158960138272
625555,0.25,0.1154781048236525
625555,1.0,0.1155915572203215
625555,4.0,0.1163263892983289
630506,0.25,0.069535742624951
630506,1.0,0.064730595364733
630506,4.0,0.0614872441566237
630506,0.25,0.0562390545347067
630506,1.0,0.0519877919836828
630506,4.0,0.0506243101429921
630506,0.25,0.1101539594321268
630506,1.0,0.1081984026661762
630506,4.0,0.1061114871740879
630506,0.25,0.0996019670229438
630506,1.0,0.1027165788550929
630506,4.0,0.1043546339405273
630506,0.25,0.09944508092795
630506,1.0,0.1033237130125423
630506,4.0,0.1068470527190283
630506,0.25,0.0315505445816531
630506,1.0,0.0253323098356124
630506,4.0,0.0212718031008834
630506,0.25,0.1296356261150765
630506,1.0,0.1316112284289842
630506,4.0,0.133768625833108
630506,0.25,0.0792575330439225
630506,1.0,0.0798952514950569
630506,4.0,0.0796471018342942
630506,0.25,0.067432618150931
630506,1.0,0.0736064406715688
630506,4.0,0.0782461899242491
630506,0.25,0.1160524778600443
630506,1.0,0.1158786361202665
630506,4.0,0.1184319127814571
630506,0.25,0.1056557610823951
630506,1.0,0.1076248370486781
630506,4.0,0.1092657857235065
630506,0.25,0.0993333620832583
630506,1.0,0.0962989939881721
630506,4.0,0.093455114390724
631510,0.25,0.2824988853463261
631510,1.0,0.2760792782505735
631510,4.0,0.2737204844595525
631510,0.25,0.2468525833186747
631510,1.0,0.2440569010823148
631510,4.0,0.243733511848434
631510,0.25,0.2541049383613625
631510,1.0,0.2558713492264313
631510,4.0,0.2527012045654688
631510,0.25,0.3408170573987803
631510,1.0,0.3456120835366502
631510,4.0,0.3452675661961697
631510,0.25,0.2354191986568086
631510,1.0,0.237064193587468
631510,4.0,0.2386444556839388
631510,0.25,0.2472941993310419
631510,1.0,0.2452091411284435
631510,4.0,0.2430967137229971
631510,0.25,0.2809008107542781
631510,1.0,0.2809838115771248
631510,4.0,0.2824019591956281
631510,0.25,0.3007607602459899
631510,1.0,0.2989468657120322
631510,4.0,0.2955098041749537
631510,0.25,0.3059941234093139
631510,1.0,0.3095921334494191
631510,4.0,0.3115443835313076
631510,0.25,0.2404755408610048
631510,1.0,0.249031190948222
631510,4.0,0.2509641538368923
631510,0.25,0.2376294253925144
631510,1.0,0.2349594376908041
631510,4.0,0.235900133438836
631510,0.25,0.2658921349150692
631510,1.0,0.2587296975222563
631510,4.0,0.2537153448169181
631570,0.25,0.0880625726153301
631570,1.0,0.0843885126658578
631570,4.0,0.0810731499939715
631570,0.25,0.1611401154555289
631570,1.0,0.1717880123424505
631570,4.0,0.177394141641904
631570,0.25,0.1690990386788589
631570,1.0,0.168310653260498
631570,4.0,0.1644967113199693
631570,0.25,0.1661640774563088
631570,1.0,0.159808390854281
631570,4.0,0.1586683717574221
631570,0.25,0.1361503583028864
631570,1.0,0.1378182677225518
631570,4.0,0.1417215058005244
631570,0.25,0.1776613958994774
631570,1.0,0.1727408337902354
631570,4.0,0.1689972951905563
631570,0.25,0.1314837814127341
631570,1.0,0.1336381995689287
631570,4.0,0.1340033302231326
631570,0.25,0.1424121802771683
631570,1.0,0.1336459249678114
631570,4.0,0.128092392924982
631570,0.25,0.1225979712049904
631570,1.0,0.1232476647110133
631570,4.0,0.1228702749069566
631570,0.25,0.0887687714718516
631570,1.0,0.0787423846083315
631570,4.0,0.071894241208555
631570,0.25,0.1770680486563789
631570,1.0,0.1756216457402455
631570,4.0,0.174449996374163
631570,0.25,0.1375360144932147
631570,1.0,0.129737499156788
631570,4.0,0.1258736062001913
633229,0.25,0.1464855185646164
633229,1.0,0.1440887078615778
633229,4.0,0.1415894194941778
