task_id,phase,topology,N,graph_seed,regime,connection_prob,coupling,k,budget_fraction,cycle_proxy,dynamics_aware,feedback_hub,high_degree,module_bridge,random,spectral,leverage_gain_vs_spectral,leverage_gain_vs_feedback_hub,leverage_gain_vs_high_degree,leverage_gain_vs_module_bridge,leverage_gain_vs_cycle_proxy,leverage_gain_vs_random,sel_total_degree,sel_feedback,sel_cycle3,sel_bridge,sel_spectral,coverage1,coverage2,out_neighbor_redundancy,selected_dispersion
4e9cc098926ce49eef,stage4b_replication,scale_free,256,42004,sparse_drive,0.05,0.05,48,0.1875,0.5734241008758545,0.5985679030418396,0.4834315478801727,0.663184404373169,0.663184404373169,0.09594473772449416,0.3158493638038635,0.2827185392379761,0.11513635516166693,-0.06461650133132935,-0.06461650133132935,0.025143802165985107,0.5026231653173454,51.5625,780.3125,71.64583333333333,0.0,0.1078239909433156,0.98828125,1.0,0.0696888786112449,1.5833333333333333
5035039b2a0cad4a62,stage4d_scaling,scale_free,128,44001,transition_dense,0.1,0.035,4,0.03125,0.0399393066763877,0.1283585727214813,0.0347691811621189,0.0347691811621189,0.0347691811621189,0.09919127798639232,0.033300407230854,0.09505816549062729,0.0935893915593624,0.0935893915593624,0.0935893915593624,0.08841926604509359,0.029167294735088972,25.75,231.25,39.25,0.0,0.0832025690025568,0.34375,1.0,0.0351851851851851,1.6666666666666667
50fcd1b5d29c84b3b5,stage4e_topology,modular,256,43001,transition_dense,0.1,0.035,8,0.03125,0.0947068780660629,0.2040642499923706,0.0483584031462669,0.0431367456912994,0.0343228355050087,0.07537594967288891,0.0395760685205459,0.1644881814718247,0.1557058468461037,0.16092750430107122,0.1697414144873619,0.1093573719263077,0.1286883003194817,52.25,730.125,179.25,7.25,0.0650879859016941,0.578125,1.0,0.0598487875109066,1.8928571428571428
51c1e086c3ae044734,stage4e_topology,modular,256,43001,transition_mid,0.05,0.035,64,0.25,0.2146419435739517,0.383272647857666,0.3587941527366638,0.2637568414211273,0.2700246572494507,0.25413386011496186,0.4198771119117737,-0.036604464054107666,0.024478495121002197,0.1195158064365387,0.11324799060821533,0.16863070428371432,0.12913878774270415,26.03125,195.9375,20.0,3.765625,0.0630759579375418,0.96875,1.0,0.0275577180603743,2.183531746031746
55a1a46d86e84d580e,stage4b_replication,scale_free,256,42001,transition_dense,0.1,0.035,32,0.125,0.4369080066680908,0.4944562315940857,0.5167684555053711,0.3105706572532654,0.3105706572532654,0.11155931488610801,0.4326730966567993,0.06178313493728638,-0.0223122239112854,0.1838855743408203,0.1838855743408203,0.05754822492599487,0.38289691670797765,95.5625,2512.0625,383.90625,0.0,0.1093444441986883,0.96875,1.0,0.1316157007205877,1.2056451612903225
57133bb968678b4342,stage4c_atlas_extension,scale_free,256,42006,transition_dense,0.1,0.035,48,0.1875,0.6701892018318176,0.6843278408050537,0.6793513894081116,0.6793513894081116,0.6793513894081116,0.3431449979543686,0.6793513894081116,0.004976451396942139,0.004976451396942139,0.004976451396942139,0.004976451396942139,0.014138638973236084,0.3411828428506851,95.0625,2432.645833333333,377.0625,0.0,0.1073260627593409,0.99609375,1.0,0.1352001062956371,1.24822695035461
57f370907868633a1b,er_patch,erdos_renyi,256,43002,sparse_drive,0.05,0.05,64,0.25,0.3475218378007412,0.359409898519516,0.2239408083260059,0.3160921335220337,0.3160921335220337,0.24345022236229852,0.3549684137105942,0.004441484808921814,0.13546909019351008,0.0433177649974823,0.0433177649974823,0.011888060718774796,0.11595967615721747,26.671875,202.34375,7.78125,0.0,0.0642858679841734,0.98828125,1.0,0.0256336030456575,1.96031746031746
5899b48adb7b89040f,stage4c_atlas_extension,scale_free,256,42006,transition_mid,0.05,0.035,64,0.25,0.5105094909667969,0.4776700437068939,0.4017949104309082,0.4017949104309082,0.4017949104309082,0.25172253185883164,0.3673185110092163,0.11035153269767761,0.07587513327598572,0.07587513327598572,0.07587513327598572,-0.032839447259902954,0.22594751184806228,47.9375,700.640625,62.203125,0.0,0.0968111500226604,0.984375,1.0,0.0601506017767748,1.6666666666666667
5a82b497e65ab80851,er_patch,erdos_renyi,256,43003,sparse_drive,0.05,0.05,8,0.03125,0.0625214735046029,0.132840858772397,0.0874195443466305,0.0676349680870771,0.0676349680870771,0.08453076690784653,0.1354180425405502,-0.0025771837681531906,0.04542131442576651,0.06520589068531991,0.06520589068531991,0.07031938526779412,0.048310091864550486,26.875,205.75,6.75,0.0,0.066398038046463,0.39453125,0.9921875,0.0266061325554688,1.8928571428571428
5b40c0847d3bcdce66,er_patch,erdos_renyi,256,43002,sparse_drive,0.05,0.05,32,0.125,0.1405522227287292,0.2105162106454372,0.0489618736319243,0.0596697367727756,0.0596697367727756,0.1231276369653642,0.1494176350533962,0.061098575592041016,0.1615543370135129,0.15084647387266162,0.15084647387266162,0.06996398791670802,0.08738857368007301,25.03125,180.03125,7.3125,0.0,0.0604885492308406,0.83203125,1.0,0.0236825568229778,2.004032258064516
