complexity_saving_fraction,topology,source_saving_field
0.1666666666666666,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.25,modular,complexity_saving
0.25,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.25,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.3333333333333332,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.5,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-2.0,modular,complexity_saving
-2.0,modular,complexity_saving
0.0,modular,complexity_saving
-2.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-2.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.1666666666666666,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.25,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.25,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-2.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
0.0,modular,complexity_saving
-0.5,modular,complexity_saving
-0.3333333333333332,modular,complexity_saving
0.0,modular,complexity_saving
0.3333333333333333,modular,complexity_saving
-0.3333333333333332,modular,complexity_saving
