subject,top_fraction,topset_balacc_crossover
625555,0.4,0.0312102272727271
625555,0.05,0.0124842417500927
625555,0.1,-0.0144679273266591
625555,0.2,-0.0209714497589914
625555,0.4,0.0059306637004077
625555,0.05,-0.0238218390804596
625555,0.1,0.0262848932676518
625555,0.2,0.0381691297208537
625555,0.4,0.0379926108374384
625555,0.05,0.032471264367816
625555,0.1,0.0107471264367815
625555,0.2,0.0047126436781609
625555,0.4,0.0177011494252873
625555,0.05,0.0149285714285714
625555,0.1,0.028026455026455
625555,0.2,-0.0086759259259259
625555,0.4,0.0046283068783068
625555,0.05,-0.0077016055464331
625555,0.1,-0.019665663200146
625555,0.2,0.0667008757525998
625555,0.4,-0.0372719394271119
625555,0.05,-0.0217167222840192
625555,0.1,0.0244178717093066
625555,0.2,-0.0189451242120874
625555,0.4,-0.0090582128290692
625555,0.05,0.012389692250649
625555,0.1,-0.0445736002966258
625555,0.2,-0.0267890248424175
625555,0.4,0.059228772710419
625555,0.05,0.0081695809636985
625555,0.1,0.0119818634524517
625555,0.2,-0.004002914297032
625555,0.4,-0.0140590074413604
625555,0.05,-0.0219321236559141
625555,0.1,0.0518716397849463
625555,0.2,0.0129166666666664
625555,0.4,-0.0141129032258064
625555,0.05,0.0364519739519738
625555,0.1,0.0532203907203907
625555,0.2,0.0434676434676435
625555,0.4,0.0231532356532355
625555,0.05,-0.0045468692527516
625555,0.1,0.0325640862405567
625555,0.2,0.0182217836629601
625555,0.4,0.0252355487649604
630506,0.05,0.0114107827038861
630506,0.1,0.0097167487684729
630506,0.2,0.0157900018244845
630506,0.4,-0.0115302864440794
630506,0.05,0.0111895161290322
630506,0.1,-0.0002304147465437
630506,0.2,0.0300907258064516
630506,0.4,-0.0168418778801844
630506,0.05,0.0003510378510378
630506,0.1,0.0182692307692309
630506,0.2,-0.0034696784696784
630506,0.4,-0.0072954822954823
630506,0.05,-0.015100806451613
630506,0.1,0.030097446236559
630506,0.2,0.0291061827956989
630506,0.4,0.0016095430107527
630506,0.05,0.0113752052545155
630506,0.1,0.0039326765188834
630506,0.2,-0.0117036124794746
630506,0.4,0.0305131362889983
630506,0.05,0.0154146141215105
630506,0.1,0.072609925196132
630506,0.2,0.0773900748038679
630506,0.4,0.0218573253056011
630506,0.05,0.0530346668581962
630506,0.1,0.0374618736383443
630506,0.2,0.0513761401996697
630506,0.4,0.0121678756972875
630506,0.05,-0.0087305611899931
630506,0.1,0.0027585328802367
630506,0.2,-0.0190296181168391
630506,0.4,-0.0241290403308659
