subject,C,activity_selectivity_residual_delta_rho
619296,1.0,0.0610837942004815
619296,4.0,0.0637331341787763
619296,0.25,0.0277146222103886
619296,1.0,0.0266691345531473
619296,4.0,0.0281966141610493
619296,0.25,-0.0047209381006084
619296,1.0,-0.0102833783862247
619296,4.0,-0.0140823041010856
619296,0.25,0.0473550739818848
619296,1.0,0.0389181448802909
619296,4.0,0.0338075614284629
620333,0.25,-0.0259641015420035
620333,1.0,-0.0237557067744423
620333,4.0,-0.0211770392374486
620333,0.25,0.0194820460487247
620333,1.0,0.0175528133135887
620333,4.0,0.0156172882659983
620333,0.25,0.0567459845309888
620333,1.0,0.0615888256904334
620333,4.0,0.0655471770568608
620333,0.25,0.0205329352534923
620333,1.0,0.0235520038081999
620333,4.0,0.02605784117551
620333,0.25,0.0213106017845923
620333,1.0,0.0266349326403692
620333,4.0,0.0304576889331928
620333,0.25,0.0957894668685529
620333,1.0,0.1008430700681731
620333,4.0,0.1008611315607885
620333,0.25,0.0593575254450405
620333,1.0,0.0560537571361152
620333,4.0,0.0533198873391273
620333,0.25,0.0256659043515929
620333,1.0,0.0232377289683655
620333,4.0,0.0238899752289793
620333,0.25,0.01845925337874
620333,1.0,0.0165530356481505
620333,4.0,0.0158266082490341
620333,0.25,0.017864276694667
620333,1.0,0.0195111951557421
620333,4.0,0.0214531707364094
620333,0.25,0.0219032597245559
620333,1.0,0.0193082711217959
620333,4.0,0.0182324074002852
620333,0.25,0.0137130300476054
620333,1.0,0.0186167252926813
620333,4.0,0.0208805216198013
620334,0.25,0.0712716079013439
620334,1.0,0.0646606535173288
620334,4.0,0.0617358304996612
620334,0.25,-0.0520862660464949
620334,1.0,-0.0535799980864241
620334,4.0,-0.0509366216693226
620334,0.25,0.0012884473230797
620334,1.0,-0.005934551959704
620334,4.0,-0.0121291603723928
620334,0.25,0.0163312829426699
620334,1.0,0.0177250581254901
620334,4.0,0.0168120189049299
620334,0.25,-0.0169215613203897
620334,1.0,-0.0136465926704929
620334,4.0,-0.0128837854374515
620334,0.25,0.0052618647782722
620334,1.0,0.0089183931784773
620334,4.0,0.0102295110470587
620334,0.25,-0.0390235480354028
620334,1.0,-0.040099934367601
620334,4.0,-0.0380216999734385
620334,0.25,-0.0218186351171493
620334,1.0,-0.0189041169294679
620334,4.0,-0.0183260784207554
620334,0.25,0.0257451500629937
620334,1.0,0.0282433843459889
620334,4.0,0.0304553317159121
620334,0.25,0.0370191047812665
620334,1.0,0.0378571373255454
620334,4.0,0.0386247535271873
620334,0.25,0.0245642493074529
620334,1.0,0.0232657781945787
620334,4.0,0.0221654096438725
620334,0.25,0.0538734950342273
620334,1.0,0.0535876765225183
620334,4.0,0.0528189362055455
625545,0.25,-0.0218150099111621
625545,1.0,-0.0204051001072243
625545,4.0,-0.0195204661314259
625545,0.25,-0.008299240746263
625545,1.0,-0.007323869847309
625545,4.0,-0.0066449073367012
625545,0.25,0.0593673548352948
625545,1.0,0.0644717258613225
625545,4.0,0.066569026257185
625545,0.25,0.0137877907773441
625545,1.0,0.0186593143217202
625545,4.0,0.0218980390863346
625545,0.25,-0.0148739367601644
625545,1.0,-0.020066575651647
625545,4.0,-0.0230524002523326
625545,0.25,-0.0163485357750931
625545,1.0,-0.0129473566201015
625545,4.0,-0.0103647014788438
625545,0.25,-0.0217649896474255
625545,1.0,-0.0237267133771463
625545,4.0,-0.0262303556352469
625545,0.25,0.0222922835767911
625545,1.0,0.0246266563537222
625545,4.0,0.0270150803141505
625545,0.25,0.01760035676984
625545,1.0,0.0217863427760115
625545,4.0,0.0253630099785589
625545,0.25,0.0412813919153117
625545,1.0,0.0431335435883227
625545,4.0,0.046143922452117
625545,0.25,0.0191781389085013
625545,1.0,0.020385205198019
625545,4.0,0.0219883857038122
625545,0.25,0.0431145099086777
625545,1.0,0.0481080331891497
625545,4.0,0.0501991053493206
625554,0.25,-0.0305978112384338
625554,1.0,-0.0308725419991559
625554,4.0,-0.0306092310143535
625554,0.25,0.0276213898379223
625554,1.0,0.0351110117004751
625554,4.0,0.0400285932467869
625554,0.25,0.0309109353396743
625554,1.0,0.0316004002220289
625554,4.0,0.0326895231896031
625554,0.25,-0.0310991808534742
625554,1.0,-0.0294213173594827
625554,4.0,-0.0279849128272543
625554,0.25,0.0153547363904361
625554,1.0,0.0191265915470757
625554,4.0,0.0205582941838581
625554,0.25,0.0072046192170113
625554,1.0,0.0050268687759457
625554,4.0,0.0053526673371128
625554,0.25,0.0111525042191595
625554,1.0,0.0103612112504143
625554,4.0,0.0095249157535568
625554,0.25,0.0303985418001963
625554,1.0,0.0286385085678888
625554,4.0,0.0260637619479006
625554,0.25,0.0324648724943785
625554,1.0,0.032431891134888
625554,4.0,0.0302902828454326
625554,0.25,-0.015216093033622
625554,1.0,-0.0105600558777764
625554,4.0,-0.0067527112474869
625554,0.25,0.028324386063201
625554,1.0,0.0318295883635202
625554,4.0,0.0344874444556933
625554,0.25,0.00733680808066
625554,1.0,0.008905541248446
625554,4.0,0.0102455849741024
625555,0.25,0.0519873365572858
625555,1.0,0.0502027457053086
625555,4.0,0.0480392288418179
625555,0.25,0.0365483920229205
625555,1.0,0.0364889712136618
625555,4.0,0.0380898108376804
625555,0.25,-0.0137299119267378
625555,1.0,-0.0136639807590259
625555,4.0,-0.0139293418367082
625555,0.25,0.0240701379271501
625555,1.0,0.0224912932639032
625555,4.0,0.0207831626932394
625555,0.25,-0.0091433401098303
625555,1.0,-0.0067541115384866
625555,4.0,-0.0054510777936773
625555,0.25,0.0575574914259141
625555,1.0,0.0568243250488
625555,4.0,0.0555261967626106
625555,0.25,-0.0051917680481887
625555,1.0,-0.005602259786032
625555,4.0,-0.0053701911508503
625555,0.25,0.0684822451370795
625555,1.0,0.067782101833961
625555,4.0,0.068013525701679
625555,0.25,0.066370699934902
625555,1.0,0.0630309046818445
625555,4.0,0.0611393125863503
625555,0.25,-0.0098224521648955
625555,1.0,-0.0090134903039545
