variant,graph_seed,repeat,state,best_search_score,objective,heldout_home_score
primary,93003,10,transition_mid,0.6113725304603577,primary,0.30591729655861855
primary,93003,11,sparse_drive,0.5810884833335876,primary,0.2652140911668539
primary,93003,11,transition_mid,0.6019496321678162,primary,0.37693077325820923
primary,93003,12,sparse_drive,0.5882952809333801,primary,0.251507893204689
primary,93003,12,transition_mid,0.5982329845428467,primary,0.35543233156204224
primary,93003,13,sparse_drive,0.5562092661857605,primary,0.37897028774023056
primary,93003,13,transition_mid,0.6005225777626038,primary,0.40173937007784843
primary,93003,14,sparse_drive,0.5615900158882141,primary,0.30943448655307293
primary,93003,14,transition_mid,0.6053592562675476,primary,0.3866539169102907
primary,93003,15,sparse_drive,0.5484166741371155,primary,0.21112509816884992
primary,93003,15,transition_mid,0.6087134480476379,primary,0.2949970066547394
primary,93003,16,sparse_drive,0.5692703127861023,primary,0.2786765620112419
primary,93003,16,transition_mid,0.6191099286079407,primary,0.3665860425680876
primary,93003,17,sparse_drive,0.5588087439537048,primary,0.3762793932110071
primary,93003,17,transition_mid,0.605750322341919,primary,0.3963814079761505
primary,93003,18,sparse_drive,0.580877959728241,primary,0.32843862287700176
primary,93003,18,transition_mid,0.596807599067688,primary,0.49997181445360184
primary,93003,19,sparse_drive,0.5623772740364075,primary,0.30222502537071705
primary,93003,19,transition_mid,0.6326530575752258,primary,0.49842892959713936
