placement,complexity_fraction,mean,std,n,median,sem,ci95,source_fraction_column,semantic_fraction_name
feedback_hub,0.0078125,0.03391282312916206,0.03196544992420816,72,0.043545215300732396,0.0037671644008477672,0.007383642225661623,hh_fraction_actual,high-complexity fraction
feedback_hub,0.015625,0.018079626024891438,0.0175056511506739,72,0.02262511371902135,0.0020630607729546007,0.004043599114991018,hh_fraction_actual,high-complexity fraction
feedback_hub,0.03125,0.00651498941281451,0.0071318570996229255,72,0.0077199766569715,0.0008404974195994657,0.0016473749424149528,hh_fraction_actual,high-complexity fraction
feedback_hub,0.0625,0.001533986660545584,0.0032856591328855357,72,0.0006948797193241,0.0003872186422551457,0.0007589485388200856,hh_fraction_actual,high-complexity fraction
feedback_hub,0.125,0.0008460551777651067,0.0014692909675774295,72,0.0006590268000549501,0.00017315760111835736,0.0003393888981919804,hh_fraction_actual,high-complexity fraction
high_degree,0.00390625,0.04240110813806025,0.0461190057407118,72,0.04087053837019245,0.005435176950139772,0.010652946822273954,hh_fraction_actual,high-complexity fraction
high_degree,0.0078125,0.03392998420175067,0.032674400506701104,72,0.0417519541822064,0.0038507150282489195,0.007547401455367882,hh_fraction_actual,high-complexity fraction
high_degree,0.015625,0.01915517209080137,0.01837817736026027,72,0.0222351203677447,0.00216588897288152,0.004245142386847779,hh_fraction_actual,high-complexity fraction
high_degree,0.03125,0.006713788081348629,0.00716464855259564,72,0.008249140348388851,0.0008443619293931268,0.0016549493816105285,hh_fraction_actual,high-complexity fraction
high_degree,0.0625,0.0016013019018517865,0.003311204446443411,72,0.0007011173680909,0.0003902291863291974,0.0007648492052052269,hh_fraction_actual,high-complexity fraction
high_degree,0.125,0.0007757733158417443,0.001519016658325422,72,0.0006972937843095,0.00017901782997287248,0.00035087494674683006,hh_fraction_actual,high-complexity fraction
module_bridge,0.00390625,0.0421436266002006,0.044451054053913766,72,0.048010500265054504,0.005238606958735367,0.010267669639121318,hh_fraction_actual,high-complexity fraction
module_bridge,0.0078125,0.03171843908777918,0.03144564809634356,72,0.04294306969178145,0.0037059051679550633,0.007263574129191924,hh_fraction_actual,high-complexity fraction
module_bridge,0.015625,0.01871192689903677,0.018011148795118767,72,0.02375486091389445,0.002122634241664733,0.004160363113662876,hh_fraction_actual,high-complexity fraction
module_bridge,0.03125,0.006888325390381467,0.0073064875372033464,72,0.008368649222134851,0.0008610778140352473,0.0016877125155090847,hh_fraction_actual,high-complexity fraction
module_bridge,0.0625,0.0018776305833902345,0.003472277814836726,72,0.00082420110305415,0.0004092118648391094,0.0008020552550846543,hh_fraction_actual,high-complexity fraction
module_bridge,0.125,0.0008240159489887011,0.0015488079206160252,72,0.00042491107357414996,0.00018252876390383792,0.0003577563772515223,hh_fraction_actual,high-complexity fraction
random,0.00390625,0.038146414570878584,0.03146597861457634,72,0.0399965942896646,0.003708301142506303,0.007268270239312354,hh_fraction_actual,high-complexity fraction
random,0.0078125,0.03035195731802303,0.025144813880540795,72,0.03583458145105615,0.002963344734434004,0.005808155679490648,hh_fraction_actual,high-complexity fraction
random,0.015625,0.018460154193752496,0.015046974813062457,72,0.022178768591666502,0.001773302987776608,0.0034756738560421515,hh_fraction_actual,high-complexity fraction
random,0.03125,0.008383111442439006,0.00799496888056716,72,0.00912567554939875,0.0009422161184707435,0.0018467435922026572,hh_fraction_actual,high-complexity fraction
random,0.0625,0.0020405066450331823,0.003322290913216596,72,0.0022367364936694504,0.00039153573896831713,0.0007674100483779016,hh_fraction_actual,high-complexity fraction
random,0.125,0.00019821395796341712,0.001337573318664621,72,9.037876941624233e-06,0.0001576345273269914,0.0003089636735609031,hh_fraction_actual,high-complexity fraction
