subject,C,delta_jaccard
620333,1.0,0.0131155411548117
620333,4.0,0.0184101436104964
620333,0.25,0.0147566987171979
620333,1.0,0.0157651377176161
620333,4.0,0.0155320317706266
620333,0.25,-0.0126488206414799
620333,1.0,-0.0115596447847705
620333,4.0,-0.0229342526543664
620333,0.25,-0.0151524567869633
620333,1.0,-0.0128503268106071
620333,4.0,-0.0012143779933153
620334,0.25,-0.0065449140170049
620334,1.0,0.0013526186749616
620334,4.0,0.0096612011223016
620334,0.25,-0.0474749047055053
620334,1.0,-0.0547822530613094
620334,4.0,-0.0395440513909495
620334,0.25,0.0195473256497089
620334,1.0,0.0124829373901283
620334,4.0,0.0087121212121212
620334,0.25,0.0113220223969639
620334,1.0,0.0077523215181442
620334,4.0,0.0040359113451391
620334,0.25,0.0036771816925511
620334,1.0,-0.0199371941450471
620334,4.0,-0.0210524374331797
620334,0.25,0.011412670715282
620334,1.0,0.0136301132852792
620334,4.0,0.0171594396199824
620334,0.25,-0.0214904076916606
620334,1.0,-0.0214904076916606
620334,4.0,-0.0121942345550288
620334,0.25,0.0002266432630653
620334,1.0,0.0109941760199032
620334,4.0,0.0146822889822098
620334,0.25,-0.0025710517045288
620334,1.0,-0.0003501093113719
620334,4.0,-0.0144132118419493
620334,0.25,0.0098547921273829
620334,1.0,-7.467013680487189e-05
620334,4.0,-0.00203953316007
620334,0.25,-0.0020596075717148
620334,1.0,0.0035947328360352
620334,4.0,-0.0181586732662001
620334,0.25,0.0357312651086479
620334,1.0,0.0284527840959896
620334,4.0,0.0317593677283287
625545,0.25,0.0065194651593196
625545,1.0,0.0093064011571449
625545,4.0,0.0073294331617696
625545,0.25,-0.0087551298822789
625545,1.0,-0.0029402269163361
625545,4.0,-0.0030134169157937
625545,0.25,0.0400046361010945
625545,1.0,0.039955430412625
625545,4.0,0.0323406186909434
625545,0.25,0.016000318249982
625545,1.0,0.0121380107900437
625545,4.0,0.0150005441265261
625545,0.25,0.0118463874467977
625545,1.0,0.0030232872393087
625545,4.0,0.0001027942965527
625545,0.25,-0.0160676927632968
625545,1.0,-0.0160688504155375
625545,4.0,-0.0210624698109175
625545,0.25,0.0164992443153311
625545,1.0,0.0154556055837253
625545,4.0,0.017409493782613
625545,0.25,0.0110338248885411
625545,1.0,0.0050472741851624
625545,4.0,0.0011308807587631
625545,0.25,-0.008939860704538
625545,1.0,-0.0109815537228949
625545,4.0,-0.0098329966014245
625545,0.25,-0.0087468710104883
625545,1.0,-0.0017792447976727
625545,4.0,-0.0046572310476077
625545,0.25,-9.40778868420422e-06
625545,1.0,-0.0009267276627974
