graph,task,coupling,readout,method,score,normalized_score,mask_count
formal-03,delayed_recall,0.05,state_matched,specialist_pool_0.035,0.9270695556758266,0.9270695556758266,1
formal-03,delayed_recall,0.05,cross_state_readout,specialist_pool_0.035,-0.18078777256066747,-0.18078777256066747,1
formal-03,delayed_recall,0.035,state_matched,specialist_pool_0.05,0.8720955302635561,0.8720955302635561,1
formal-03,delayed_recall,0.035,cross_state_readout,specialist_pool_0.05,-9.274169735811094,-9.274169735811094,1
formal-03,delayed_recall,0.05,state_matched,specialist_pool_0.05,0.895022780556212,0.895022780556212,1
formal-03,delayed_recall,0.05,cross_state_readout,specialist_pool_0.05,-7.817923150522425,-7.817923150522425,1
formal-03,delayed_recall,0.035,state_matched,high_degree,0.8209169602555499,0.8209169602555499,1
formal-03,delayed_recall,0.035,cross_state_readout,high_degree,-18.697550203529524,-18.697550203529524,1
formal-03,delayed_recall,0.05,state_matched,high_degree,0.8855975896368384,0.8855975896368384,1
formal-03,delayed_recall,0.05,cross_state_readout,high_degree,-23.401287321308843,-23.401287321308843,1
formal-03,delayed_recall,0.035,state_matched,spectral,0.8490852891882169,0.8490852891882169,1
formal-03,delayed_recall,0.035,cross_state_readout,spectral,-68.83166276329074,-68.83166276329074,1
formal-03,delayed_recall,0.05,state_matched,spectral,0.8552732181941215,0.8552732181941215,1
formal-03,delayed_recall,0.05,cross_state_readout,spectral,-4.918881857858814,-4.918881857858814,1
formal-03,delayed_recall,0.035,state_matched,input_energy_degree,0.9298954276912534,0.9298954276912534,1
formal-03,delayed_recall,0.035,cross_state_readout,input_energy_degree,-10.156876611069626,-10.156876611069626,1
formal-03,delayed_recall,0.05,state_matched,input_energy_degree,0.8785566731168809,0.8785566731168809,1
formal-03,delayed_recall,0.05,cross_state_readout,input_energy_degree,-1.8619115211111255,-1.8619115211111255,1
formal-03,delayed_recall,0.035,state_matched,input_quota_random,0.8917880824325156,0.8917880824325156,1
formal-03,delayed_recall,0.035,cross_state_readout,input_quota_random,-10.297971927992762,-10.297971927992762,1
formal-03,delayed_recall,0.05,state_matched,input_quota_random,0.915637742662794,0.915637742662794,1
formal-03,delayed_recall,0.05,cross_state_readout,input_quota_random,-5.742680171508544,-5.742680171508544,1
formal-03,delayed_recall,0.035,state_matched,unselected_random,0.8767524471933306,0.8767524471933306,8
formal-03,delayed_recall,0.035,cross_state_readout,unselected_random,-5.349349945116568,-5.349349945116568,8
formal-03,delayed_recall,0.05,state_matched,unselected_random,0.894001003621016,0.894001003621016,8
formal-03,delayed_recall,0.05,cross_state_readout,unselected_random,-6.123520466339728,-6.123520466339728,8
formal-03,delayed_recall,0.035,state_matched,group_matched_random,0.8911740160000943,0.8911740160000943,4
formal-03,delayed_recall,0.035,cross_state_readout,group_matched_random,-13.527578979508402,-13.527578979508402,4
formal-03,delayed_recall,0.05,state_matched,group_matched_random,0.8925775440469732,0.8925775440469732,4
formal-03,delayed_recall,0.05,cross_state_readout,group_matched_random,-4.682408079387776,-4.682408079387776,4
formal-04,delayed_recall,0.035,state_matched,random_search,0.9091198528542674,0.9091198528542674,1
formal-04,delayed_recall,0.035,cross_state_readout,random_search,-1.3349877829168455,-1.3349877829168455,1
formal-04,delayed_recall,0.05,state_matched,random_search,0.9101456197446731,0.9101456197446731,1
formal-04,delayed_recall,0.05,cross_state_readout,random_search,-0.0031641020160293465,-0.0031641020160293465,1
formal-04,delayed_recall,0.035,state_matched,local_search,0.9245178788149964,0.9245178788149964,1
formal-04,delayed_recall,0.035,cross_state_readout,local_search,-6.033974449415527,-6.033974449415527,1
formal-04,delayed_recall,0.05,state_matched,local_search,0.9200909766867711,0.9200909766867711,1
formal-04,delayed_recall,0.05,cross_state_readout,local_search,0.34949142597523,0.34949142597523,1
formal-04,delayed_recall,0.035,state_matched,population_search,0.9091198528542674,0.9091198528542674,1
formal-04,delayed_recall,0.035,cross_state_readout,population_search,-1.3349877829168455,-1.3349877829168455,1
formal-04,delayed_recall,0.05,state_matched,population_search,0.9101456197446731,0.9101456197446731,1
formal-04,delayed_recall,0.05,cross_state_readout,population_search,-0.0031641020160293465,-0.0031641020160293465,1
formal-04,delayed_recall,0.035,state_matched,specialist_pool_0.035,0.897645064884014,0.897645064884014,1
formal-04,delayed_recall,0.035,cross_state_readout,specialist_pool_0.035,-9.869438347302045,-9.869438347302045,1
formal-04,delayed_recall,0.05,state_matched,specialist_pool_0.035,0.88868500077557,0.88868500077557,1
formal-04,delayed_recall,0.05,cross_state_readout,specialist_pool_0.035,-2.3332800111456655,-2.3332800111456655,1
formal-04,delayed_recall,0.035,state_matched,specialist_pool_0.05,0.8734504719397096,0.8734504719397096,1
formal-04,delayed_recall,0.035,cross_state_readout,specialist_pool_0.05,-2.6884489346810962,-2.6884489346810962,1
formal-04,delayed_recall,0.05,state_matched,specialist_pool_0.05,0.9186798345553174,0.9186798345553174,1
formal-04,delayed_recall,0.05,cross_state_readout,specialist_pool_0.05,-3.336858828237099,-3.336858828237099,1
formal-04,delayed_recall,0.035,state_matched,high_degree,0.8760732525436978,0.8760732525436978,1
formal-04,delayed_recall,0.035,cross_state_readout,high_degree,-52.92350276743711,-52.92350276743711,1
formal-04,delayed_recall,0.05,state_matched,high_degree,0.8902767381021996,0.8902767381021996,1
formal-04,delayed_recall,0.05,cross_state_readout,high_degree,-15.404180340507406,-15.404180340507406,1
formal-04,delayed_recall,0.035,state_matched,spectral,0.878266413152913,0.878266413152913,1
