cortical_layer,C_primary_shared
6a,1.4047091026264444
6a,1.4509901989278116
6a,1.5269491155805135
6a,1.3012170179745692
6a,1.3826014648888745
4,1.665760370506504
4,0.9297887505283462
5,0.8761547710473683
4,0.8179224613003768
5,1.6429937796720282
5,1.276227847340963
5,1.3381935423563496
5,1.7022511434583818
5,1.0424061209575872
5,1.4422507150494976
5,1.2769180512498537
6a,1.4971781587715456
6a,1.361429296183256
6a,1.5985131285549912
5,1.1706520646022287
5,1.149049862360508
5,1.19324888676925
5,1.0036259411079227
5,1.4792284867715324
5,1.5261439560750918
5,1.3593483548539678
5,1.3669953131654615
6a,1.5244990727755052
6a,0.607104972380007
6a,1.4429194663478642
5,1.3215273292831018
5,0.4576163890720388
5,0.7957097457023627
5,1.109573150290064
6a,1.3380270226570552
6a,1.4186072756626331
6a,1.1318393557089887
6a,1.5269392809437057
5,1.5502679021793246
4,1.3644809320576925
6a,1.1892422812234804
4,1.2847160887311844
4,1.3243980771157111
5,1.0530861108865652
5,1.2929090332529762
5,1.318032283411941
5,1.2493300501584752
5,1.1217678054774092
2/3,0.6836555577505403
2/3,1.5633146438092511
2/3,1.3234732759043413
2/3,1.236016857826309
6a,1.1689933835598338
6a,1.3354727674790012
6a,1.433410759842015
6a,1.4319216923265232
6a,1.161698765288257
MISSING,1.1854067199511926
MISSING,1.23824757211263
MISSING,1.3083277185697932
MISSING,1.1801226276723755
MISSING,0.8128781885701959
6a,1.2170516467525887
6a,1.4795323839751324
6a,1.241789188795752
MISSING,1.1073661465157032
MISSING,1.49350049690859
6a,1.3645113046750044
MISSING,0.9324852713650942
MISSING,1.254612494436877
MISSING,0.734291504887423
MISSING,1.2270510616488657
MISSING,1.189310812001438
MISSING,1.3633418609410508
MISSING,1.3752023020050466
MISSING,1.202429822010806
MISSING,1.3151787646963011
6a,1.346197854132623
6a,1.4524001071969976
6a,1.124303474806707
5,1.1671232592163772
5,1.130013041278127
5,1.5391979182761857
5,1.446609106881102
4,0.8083356243432263
6a,1.2571735584695487
6a,0.9916606382639434
6a,1.628746046193878
6a,1.4993255086338884
6a,1.306952559215537
5,1.2638186927778017
4,1.6081785781025544
2/3,1.4143398860600729
5,1.2722989808615548
5,1.2408906493866552
2/3,1.5469417715891267
2/3,0.8661565638142263
2/3,1.377934300634857
2/3,1.3927967192369737
2/3,1.4440461172603698
2/3,1.22310814984617
5,1.371158467121776
2/3,1.2196905160925064
2/3,1.2630394380876853
2/3,1.3061411848085338
2/3,1.0692833784335545
2/3,0.9948311229586548
2/3,1.4898895557579936
2/3,1.5979766613038575
2/3,1.3312465597779766
2/3,1.547547143018659
2/3,1.0912364077355228
2/3,1.3051011122228318
6a,1.1678052487489488
2/3,1.313991740615165
6a,1.2939603972791458
2/3,0.916741402403678
2/3,1.3696111483645992
2/3,1.3290362327647367
6a,1.50391928055529
6a,0.9545823365523932
6a,1.4452378821678191
6a,1.415289483677875
6a,1.4262415276285842
6a,1.412420668164179
6a,1.42178115635959
6a,1.3332155044991545
6a,1.2331702074023625
6a,1.5139950695665427
6a,1.544168636014399
6a,1.4742804990387322
6a,1.5168802443299725
2/3,0.8741378412293189
2/3,1.0849104431690284
6a,1.3518313512978286
6a,1.3591875830728934
2/3,1.4869698304915318
2/3,0.8922821348855323
2/3,0.8430404889130352
2/3,1.3512344551148658
2/3,1.4371476233739924
2/3,1.1568788669886478
6a,1.118884952408065
2/3,0.6836433909509042
4,1.508001633047512
MISSING,0.9240767075033652
MISSING,0.8366186613637134
MISSING,0.5737608617227387
2/3,1.383818223539926
2/3,1.1751062495660454
2/3,1.3570996108732334
MISSING,1.2335718367539397
MISSING,1.2580083745960426
5,1.229183778638615
5,1.3975705245095909
6a,1.4166768012610462
6a,1.3727500569213689
5,1.6381636177919128
5,1.754511511686501
5,1.4640373592574898
4,1.379094379358503
5,1.4107672257691584
4,1.462876067340475
4,1.4761843010439093
4,1.563981123518013
4,1.5114416499906584
4,1.5640439876069796
4,1.4157318501887095
5,1.53431142905677
5,1.146270580589266
5,1.396529083380167
5,1.70373190856144
5,1.5594060776753371
4,1.633353735207658
5,1.2009431665497374
5,1.644053867837138
5,0.812932461027583
2/3,1.1933138518745423
2/3,1.2545709639956308
4,1.143966765753405
2/3,1.4849162494675892
5,1.337588558660985
2/3,0.8257985541900567
2/3,1.469003007629221
2/3,1.0293871772484686
MISSING,1.2121919666877512
MISSING,1.3578390964553404
5,1.3615276864047097
6a,1.3342325713396517
6a,0.9346209236432016
6a,1.4598651043729711
6a,1.0105487183018818
4,1.34303621892348
6a,1.1738130182838604
6a,1.3381699439976849
MISSING,1.1401511632243968
6a,1.2872848240918973
