subject,C,delta_rho
630506,1.0,-0.0311704624928776
630506,4.0,-0.032529787947717
630506,0.25,-0.0492245090991777
630506,1.0,-0.0510410937657341
630506,4.0,-0.0508740998316647
630506,0.25,0.0059948696455846
630506,1.0,0.0052959503590821
630506,4.0,0.0034075282038995
630506,0.25,0.0192710916381747
630506,1.0,0.0221309900106229
630506,4.0,0.0226695490065427
630506,0.25,0.0024042699050799
630506,1.0,0.0058630753736824
630506,4.0,0.009079289676587
630506,0.25,-0.0624751108036999
630506,1.0,-0.0682844759337583
630506,4.0,-0.0713848591780639
630506,0.25,0.0276196021695924
630506,1.0,0.0269383982851955
630506,4.0,0.0275241520428768
630506,0.25,-0.0417549890333353
630506,1.0,-0.0355430585665871
630506,4.0,-0.0315141390776545
630506,0.25,-0.0516800049670101
630506,1.0,-0.0475249876766178
630506,4.0,-0.0432892899622643
630506,0.25,-0.0114069823934896
630506,1.0,-0.0120174547333554
630506,4.0,-0.0101361401305435
630506,0.25,0.0054281957148772
630506,1.0,0.0062641246694775
630506,4.0,0.0063698075528609
630506,0.25,0.0103430303774177
630506,1.0,0.0056039579266485
630506,4.0,0.0017060901517838
631510,0.25,0.0412467702090889
631510,1.0,0.0342211635039114
631510,4.0,0.0332892461593516
631510,0.25,0.013263379966206
631510,1.0,0.011190049120443
631510,4.0,0.0118130938278138
631510,0.25,0.0180264748967338
631510,1.0,0.0193006719828525
631510,4.0,0.0170359681018331
631510,0.25,0.072598237686148
631510,1.0,0.0769495838411469
631510,4.0,0.0777097547236442
631510,0.25,0.0372063132478964
631510,1.0,0.0427783976200132
631510,4.0,0.0464173487716894
631510,0.25,0.0058605277852793
631510,1.0,0.0093578134135962
631510,4.0,0.0098617209968082
631510,0.25,0.0693826881284486
631510,1.0,0.0675018184396017
631510,4.0,0.0665370217864952
631510,0.25,0.0521439606065898
631510,1.0,0.0505238971148176
631510,4.0,0.0477650933399032
631510,0.25,0.0568483715166699
631510,1.0,0.0559924766351527
631510,4.0,0.0565395666235961
631510,0.25,0.0007051581449985
631510,1.0,0.0130105834912622
631510,4.0,0.016900435735127
631510,0.25,-0.0148620484226219
631510,1.0,-0.0126713267375794
631510,4.0,-0.0089702966563563
631510,0.25,0.0217816412010763
631510,1.0,0.0189873654508163
631510,4.0,0.0153906586245936
631570,0.25,-0.0259219348700839
631570,1.0,-0.0268437680925815
631570,4.0,-0.0286250422127962
631570,0.25,0.0276665670357139
631570,1.0,0.0335711454746952
631570,4.0,0.0360838380173839
631570,0.25,0.0680558564464214
631570,1.0,0.0684394174741393
631570,4.0,0.0672959942820962
631570,0.25,0.0830994247138811
631570,1.0,0.0797632357121928
631570,4.0,0.081622347560619
631570,0.25,0.0420624289639851
631570,1.0,0.0478339619291343
631570,4.0,0.0536101931417881
631570,0.25,0.0741771608810667
631570,1.0,0.0749321776575549
631570,4.0,0.0755136622047175
631570,0.25,0.0161016886022532
631570,1.0,0.0180036845718638
631570,4.0,0.0185917368739358
631570,0.25,0.0042473204122797
631570,1.0,0.0013159506102218
631570,4.0,0.0005149194510252
631570,0.25,0.0137963511403377
631570,1.0,0.0212561061548684
631570,4.0,0.0256207342818559
631570,0.25,-0.0385245615619465
631570,1.0,-0.0470777819862239
631570,4.0,-0.0535469092282585
631570,0.25,0.0969616194011193
631570,1.0,0.096995283774887
631570,4.0,0.0971466271031179
