variant,graph_seed,repeat,source_state,home_rhythm_score,foreign_rhythm_score,advantage_rhythm_score,home_alternative_spectral_score,foreign_alternative_spectral_score,advantage_alternative_spectral_score,home_mean_rate_hz,foreign_mean_rate_hz,advantage_mean_rate_hz,home_spectral_concentration,foreign_spectral_concentration,advantage_spectral_concentration,home_spectral_entropy,foreign_spectral_entropy,advantage_spectral_entropy,home_synchrony_proxy,foreign_synchrony_proxy,advantage_synchrony_proxy
matched,93004,0,transition_mid,0.10639856476336712,0.08086767233908174,0.025530892424285384,0.35369177907705307,0.3140033856034279,0.03968839347362518,68.97362518310547,70.37425994873047,-1.400634765625,0.5590148903429508,0.5245359651744366,0.03447892516851425,0.36875976994633675,0.4026762321591377,-0.03391646221280098,0.31019819900393486,0.26342080160975456,0.0467773973941803
matched,93004,0,sparse_drive,0.08268314413726327,0.0910390559583902,-0.008355911821126924,0.3121626302599907,0.29811071790754795,0.014051912352442741,70.31542205810547,68.95677947998047,1.358642578125,0.5273772403597832,0.47668779268860817,0.050689447671175,0.41102973371744156,0.3771156035363674,0.03391413018107414,0.27122974768280983,0.31568431109189987,-0.04445456340909004
matched,93005,0,transition_mid,0.13048964925110337,0.044589573983103,0.08590007526800036,0.42122529447078705,0.17312287539243695,0.2481024190783501,68.90721893310547,70.29857635498047,-1.391357421875,0.6178770586848259,0.31754929944872856,0.30032775923609734,0.3186246082186699,0.455368272960186,-0.1367436647415161,0.3203396052122116,0.2633771672844887,0.05696243792772293
matched,93005,0,sparse_drive,0.11784452944993967,0.07159354444593187,0.0462509850040078,0.43346138671040535,0.22413466498255724,0.2093267217278481,70.33983612060547,68.96385955810547,1.3759765625,0.6297939345240593,0.38339123502373695,0.24640269950032234,0.31419404223561287,0.4155188128352165,-0.10132477059960365,0.27848801016807556,0.33117469400167465,-0.05268668383359909
matched,93006,0,transition_mid,0.13292128406465048,0.029465694678947274,0.1034555893857032,0.4478864185512066,0.11543284729123111,0.3324535712599755,68.95287322998047,70.36107635498047,-1.408203125,0.6431495025753975,0.2293113693594932,0.4138381332159043,0.3045507222414017,0.4970494545996189,-0.19249873235821724,0.30584806203842163,0.26094358414411545,0.04490447789430618
matched,93006,0,sparse_drive,0.10053254663944242,0.0552016822621226,0.04533086437731981,0.3714700676500797,0.18711507506668565,0.18435499258339408,70.11400604248047,68.84545135498047,1.2685546875,0.5690153315663338,0.3306456245481968,0.23836970701813698,0.34880175068974495,0.43488892912864685,-0.0860871784389019,0.27761267125606537,0.3038824461400509,-0.02626977488398552
matched,93007,0,transition_mid,0.12844833917915816,0.041540874168276766,0.0869074650108814,0.4025611951947212,0.1481911540031433,0.2543700411915779,68.93456268310547,70.33007049560547,-1.3955078125,0.6078034937381744,0.2723305821418762,0.3354729115962982,0.3384103402495384,0.45585403218865395,-0.11744369193911552,0.33067654073238373,0.28786608576774597,0.042810454964637756
matched,93007,0,sparse_drive,0.06206914084032175,0.10081732552498575,-0.038748184684664,0.1930838394910097,0.29335510171949863,-0.10027126222848892,70.00072479248047,68.77294158935547,1.227783203125,0.33559921383857727,0.4747779183089733,-0.13917870447039604,0.43379658460617065,0.3886106014251709,0.045185983180999756,0.3331891819834709,0.35794035345315933,-0.024751171469688416
matched,93008,0,transition_mid,0.1623281612992286,0.044488862156867925,0.11783929914236069,0.5302107930183411,0.1667707841843366,0.36344000883400446,68.97191619873047,70.35961151123047,-1.3876953125,0.7245033904910088,0.2952644117176533,0.4292389787733555,0.26831162348389626,0.43543336912989616,-0.1671217456459999,0.3162699490785599,0.27346644178032875,0.042803507298231125
matched,93008,0,sparse_drive,0.08980555739253755,0.08046763110905883,0.009337926283478723,0.30962013080716133,0.24729209579527375,0.06232803501188758,70.04027557373047,68.78978729248047,1.25048828125,0.4857923164963722,0.3879746273159981,0.09781768918037415,0.3710174225270748,0.36719755455851555,0.003819867968559265,0.299692016094923,0.33790577948093414,-0.038213763386011124
matched,93009,0,transition_mid,0.17673875577747816,0.04460348328575485,0.1321352724917233,0.5534713082015514,0.1585550587624311,0.39491624943912035,68.93065643310547,70.34789276123047,-1.417236328125,0.7349782586097717,0.29360297322273254,0.4413752853870392,0.24801411852240562,0.46081698313355446,-0.21280286461114883,0.3307579979300499,0.28921283781528473,0.04154516011476517
matched,93009,0,sparse_drive,0.08066817931830877,0.1037037745118141,-0.02303559519350533,0.3037606477737427,0.3399721048772335,-0.03621145710349083,70.35350799560547,68.96532440185547,1.38818359375,0.5032504945993423,0.5444036684930325,-0.04115317389369011,0.397098857909441,0.37784723192453384,0.01925162598490715,0.2717905752360821,0.3150900639593601,-0.043299488723278046
