grouping,group,baseline,n_tasks,mean_delta,bootstrap95_low,bootstrap95_high,median_delta,positive_fraction,wilcoxon_greater_p,wilcoxon_two_sided_p,wilcoxon_greater_fdr_bh
phase,stage4c_atlas_extension,random,36,0.24479307817051044,0.2066482510363029,0.2840694574938728,0.24496923005062857,0.9722222222222222,2.9103830456733704e-11,5.820766091346741e-11,1.7462298274040222e-10
phase,stage4d_scaling,spectral,36,0.1472152974456549,0.10941709196195008,0.1862930574816548,0.1254836283624172,0.9444444444444444,1.6007106751203537e-09,3.2014213502407074e-09,4.802132025361061e-09
phase,stage4d_scaling,feedback_hub,36,0.132689803166108,0.09220290824046565,0.17586735395145497,0.0975119424983859,0.8611111111111112,2.158049028366804e-08,4.316098056733608e-08,4.316098056733608e-08
phase,stage4d_scaling,high_degree,36,0.1341142574221724,0.09253413978601908,0.17765767294137427,0.0975119424983859,0.8333333333333334,6.271875463426113e-08,1.2543750926852226e-07,7.526250556111336e-08
phase,stage4d_scaling,module_bridge,36,0.1341142574221724,0.09243169017524148,0.1764650032001858,0.0975119424983859,0.8333333333333334,6.271875463426113e-08,1.2543750926852226e-07,7.526250556111336e-08
phase,stage4d_scaling,cycle_proxy,36,0.118510443975942,0.07326250006315402,0.16432797449201136,0.09261499345302579,0.8333333333333334,3.3283577067777514e-06,6.656715413555503e-06,3.3283577067777514e-06
phase,stage4d_scaling,random,36,0.2148807338679843,0.17081665850605027,0.25979685497329935,0.20076776148926,0.9444444444444444,7.275957614183426e-11,1.4551915228366852e-10,4.3655745685100555e-10
phase,stage4e_topology,spectral,54,0.14426327006960357,0.11270101898418809,0.17549048762906477,0.14067943766713145,0.9259259259259259,2.448379351901437e-09,4.896758703802874e-09,2.9380552222817243e-09
phase,stage4e_topology,feedback_hub,54,0.14748249416825948,0.11930988182279247,0.17515342555836672,0.12692239135503772,0.9259259259259259,3.4313584208272947e-10,6.862716841654589e-10,5.738363388799476e-10
phase,stage4e_topology,high_degree,54,0.15033028171294266,0.12211532374602502,0.1792926256769095,0.13912635669112206,0.9444444444444444,3.825575592532984e-10,7.651151185065968e-10,5.738363388799476e-10
phase,stage4e_topology,module_bridge,54,0.14377033393140193,0.11212834432652151,0.17566635039876455,0.1332843042910099,0.9259259259259259,4.770012543331353e-09,9.540025086662706e-09,4.770012543331353e-09
phase,stage4e_topology,cycle_proxy,54,0.16957626622860078,0.14317177612403476,0.19726293449962717,0.1693932637572289,0.9814814814814815,9.621978792002426e-11,1.9243957584004852e-10,2.886593637600728e-10
phase,stage4e_topology,random,54,0.1599285503918374,0.13752016368000314,0.18298965399441874,0.14314877183642238,0.9814814814814815,8.599231363937801e-11,1.7198462727875601e-10,2.886593637600728e-10
evidence_stratum,scale_free_N256_replication_atlas,spectral,108,0.05477874367325394,0.033123650000844565,0.07685863908759696,0.04079136252403259,0.6666666666666666,7.813322313238764e-06,1.562664462647753e-05,1.562664462647753e-05
evidence_stratum,scale_free_N256_replication_atlas,feedback_hub,108,0.042724181052849246,0.021436749805730813,0.06403224442059312,0.04407771676778795,0.6759259259259259,6.595789155115504e-05,0.00013191578310231008,6.595789155115504e-05
evidence_stratum,scale_free_N256_replication_atlas,high_degree,108,0.0435675182034848,0.022107537634481034,0.06548929073097598,0.04515738785266882,0.6666666666666666,5.83674118348263e-05,0.0001167348236696526,6.595789155115504e-05
evidence_stratum,scale_free_N256_replication_atlas,module_bridge,108,0.0435675182034848,0.022233861556742344,0.06533436315410114,0.04515738785266882,0.6666666666666666,5.83674118348263e-05,0.0001167348236696526,6.595789155115504e-05
evidence_stratum,scale_free_N256_replication_atlas,cycle_proxy,108,0.05674585156763593,0.033733023425426195,0.07995971897401398,0.04510465264320376,0.7222222222222222,1.0894910091885845e-06,2.178982018377169e-06,3.2684730275657534e-06
