variant,graph_seed,repeat,state,best_search_score,objective,heldout_home_score
primary,93008,0,sparse_drive,0.5848058462142944,primary,0.37563997507095337
primary,93008,0,transition_mid,0.5960425138473511,primary,0.41847700998187065
primary,93009,0,sparse_drive,0.5830164551734924,primary,0.3510441929101944
primary,93009,0,transition_mid,0.6126360893249512,primary,0.4218621104955673
primary,93010,0,sparse_drive,0.5883826017379761,primary,0.3612677715718746
primary,93010,0,transition_mid,0.6093041300773621,primary,0.3540742676705122
primary,93011,0,sparse_drive,0.5873662829399109,primary,0.36527544632554054
primary,93011,0,transition_mid,0.6331037282943726,primary,0.27849991619586945
primary,93012,0,sparse_drive,0.5912373065948486,primary,0.2208008430898189
primary,93012,0,transition_mid,0.5899289846420288,primary,0.4044686183333397
random_null,93001,0,sparse_drive,0.30707690119743347,primary,0.1977095399051904
random_null,93001,0,transition_mid,0.3731899857521057,primary,0.22769418265670535
random_null,93002,0,sparse_drive,0.3060990571975708,primary,0.16124297911301252
random_null,93002,0,transition_mid,0.38607147336006165,primary,0.16288152616471047
random_null,93003,0,sparse_drive,0.2951973080635071,primary,0.17600806988775725
random_null,93003,0,transition_mid,0.3445086181163788,primary,0.16282655671238896
random_null,93004,0,sparse_drive,0.25406473875045776,primary,0.07510139257647094
random_null,93004,0,transition_mid,0.3848145306110382,primary,0.170355855487287
random_null,93005,0,sparse_drive,0.2548997700214386,primary,0.07982129720039662
random_null,93005,0,transition_mid,0.3923381268978119,primary,0.23102230206131932
random_null,93006,0,sparse_drive,0.26432615518569946,primary,0.055254232836887185
random_null,93006,0,transition_mid,0.41390150785446167,primary,0.28907192684710026
random_null,93007,0,sparse_drive,0.2984481453895569,primary,0.1824942342936992
random_null,93007,0,transition_mid,0.39191973209381104,primary,0.1547001134604215
random_null,93008,0,sparse_drive,0.3170835077762604,primary,0.1494279075413942
random_null,93008,0,transition_mid,0.3695633113384247,primary,0.1318731713108718
random_null,93009,0,sparse_drive,0.3067048490047455,primary,0.1756612285971641
random_null,93009,0,transition_mid,0.37938392162323,primary,0.16963419876992697
random_null,93010,0,sparse_drive,0.2860250771045685,primary,0.257523437961936
random_null,93010,0,transition_mid,0.39379456639289856,primary,0.2508234838023782
random_null,93011,0,sparse_drive,0.30398279428482056,primary,0.16523281345143911
random_null,93011,0,transition_mid,0.39069637656211853,primary,0.3542858138680458
random_null,93012,0,sparse_drive,0.28712013363838196,primary,0.08771035261452192
random_null,93012,0,transition_mid,0.38795509934425354,primary,0.28715148381888866
