cre_type,C_primary_shared
tlx3,0.8358029035847439
tlx3,1.25384904987884
vip,1.4967052223191175
pvalb,1.135280291439245
pvalb,1.116198075471656
pvalb,0.8159485202392506
pvalb,0.6857842704386478
pvalb,0.6061614197383202
pvalb,1.028813431118601
vip,1.2916339481427843
vip,1.29580382739194
pvalb,0.8820038639423111
pvalb,0.9490600758594788
ntsr1,1.1960659687490676
ntsr1,1.307571309346727
ntsr1,1.3641230500043606
ntsr1,1.5520782738203087
tlx3,1.308094207657276
sst,1.4925664616585392
sst,1.2874290887372886
sst,1.5381943272454928
vip,1.7459109503252987
sst,1.2775759667177935
ntsr1,1.4079512235832246
ntsr1,1.281472966075615
ntsr1,1.1309197379505027
ntsr1,1.1846104028974742
unknown,1.258836444429373
ntsr1,1.3633269169377782
ntsr1,1.2707126687896066
pvalb,0.9931264028038568
pvalb,0.9460520809213616
vip,1.368233349151216
vip,1.4625805652622867
pvalb,1.0284170730066893
pvalb,0.91306315261603
sst,1.1508464781254264
sim1,1.283529796806221
pvalb,0.4507268532252071
unknown,1.5913774899299005
vip,1.472712985700009
sst,1.3676443735112438
sst,1.2170835668206648
vip,1.1575503214552356
unknown,1.1266850724867992
ntsr1,1.18891418066723
ntsr1,1.3290555880155754
ntsr1,1.1391148028896414
vip,1.4422912253521356
tlx3,1.3970985552549304
tlx3,1.4880599223646889
unknown,1.3163505816253387
tlx3,1.3675844608322858
vip,1.6534387209595534
tlx3,1.4154633319741463
unknown,1.5219440289402908
sst,1.5042967395861158
unknown,1.0342956869623916
pvalb,0.9231642951584982
vip,1.4931234507850315
vip,1.3605357614101212
vip,1.4388295738817027
pvalb,0.5915543240265864
tlx3,1.4104490477724798
tlx3,1.516837231941857
sst,1.32102064310515
sst,1.4630099299368162
sst,1.2252718381580907
pvalb,1.0442334085997311
sst,0.9504249236024608
pvalb,0.709985891826027
pvalb,1.0811285816610845
vip,1.4814124271403766
pvalb,0.8560091638799463
tlx3,1.4517402319869614
vip,1.7152532629260215
vip,1.4899241354827706
vip,1.368176015490559
pvalb,0.8113352644757033
vip,1.4340135892495829
pvalb,0.7518736935486015
vip,1.491856657778211
sst,1.3196481793858563
tlx3,1.345140137745108
ntsr1,1.3905109111979252
ntsr1,1.452108554243663
ntsr1,1.3177451967998617
ntsr1,1.4524628246575555
sst,1.41803552064111
tlx3,1.3608190194638647
tlx3,1.5038767058503104
pvalb,1.1233562018114427
pvalb,1.1604363831893256
sst,1.1544608995802976
tlx3,1.4336610887113352
tlx3,1.5461997926836912
sst,1.2608641741848687
vip,1.535605742868199
pvalb,0.9482764694745344
pvalb,0.6988061074152854
pvalb,0.7290783446998328
pvalb,0.6796048862858808
sst,0.5413543241605738
sst,1.1268795201396486
sst,1.3510054000864298
sst,1.3751737181993775
unknown,1.2384823725767269
ntsr1,1.1709450571305495
ntsr1,1.3902464351858126
tlx3,1.3281403011536324
tlx3,1.217713947291687
tlx3,1.315534269602453
tlx3,1.223240205005857
sst,1.1681774109628469
tlx3,1.601553486799128
tlx3,1.446659972015183
ntsr1,1.8038837668794985
vip,1.5373409238824869
unknown,1.010897093792797
ntsr1,1.271507965389982
ntsr1,1.1841548819805845
pvalb,0.6634026879937575
unknown,1.1079277262403195
unknown,1.5352963130310333
sst,1.2539024985714655
sst,1.1329114701344205
pvalb,0.976481648566948
sst,1.4871235392659716
unknown,1.4143413984315778
sst,1.2852853284817354
unknown,1.7220482744387184
unknown,1.4044530734776317
vip,1.2378913852548707
sst,1.3216906233506829
unknown,1.3180888604490553
unknown,1.1874890328254752
sst,1.1095613605764434
unknown,1.1648182881485205
pvalb,1.0960750464443292
vip,1.18431819260366
tlx3,1.5506488560320952
unknown,1.2162917000047349
tlx3,1.4561837747894326
tlx3,1.342015479542776
vip,1.378377722018086
unknown,1.5148934482600327
pvalb,0.9385005072264768
sst,1.0766981480546676
sst,1.0962081731678772
pvalb,1.318662091983784
vip,1.164332667853289
unknown,0.999562965541049
pvalb,1.235863154960195
unknown,1.4208981213863965
sst,1.3431000287093149
sst,1.2634594986962155
vip,1.4503768083640254
sst,1.4296472857157505
sst,1.3943792217859867
sst,1.2485432820103677
unknown,1.2153717617557294
pvalb,0.9927210250478058
pvalb,1.1189783991078526
unknown,1.4060934548484898
unknown,0.682776604527762
sst,1.2727325374358356
unknown,1.2369400233114705
sst,1.1081765022717731
unknown,1.3161370994438106
pvalb,1.4630649159561262
pvalb,0.8671744769244306
sst,1.1121838683636631
sst,1.0011363329910623
unknown,1.4489316904650915
pvalb,0.9071936685412412
pvalb,0.8079461612451557
unknown,1.4241102513115904
pvalb,0.950424691761756
sst,1.1031779052672983
pvalb,0.8872677851460203
pvalb,1.088040522376254
pvalb,0.9798826346924416
pvalb,1.0271624717278036
pvalb,0.9372005126205484
vip,1.5630330728519408
sst,1.0160734257995916
sst,1.076026909423689
pvalb,0.9840545607254152
pvalb,1.2303899008893513
unknown,1.222350770927806
unknown,0.7243858058766209
pvalb,0.7788228732187263
unknown,1.4151725146608236
pvalb,0.8386526345102767
pvalb,0.8730565982656607
vip,1.4451016100616054
tlx3,1.3842438170892506
vip,1.3157799319756205
tlx3,1.4171829069390496
vip,1.4617536611377386
vip,1.3966221133584726
tlx3,1.6065509234696371
tlx3,1.5742687528352646
vip,1.3792774446868536
tlx3,1.5526547085290383
unknown,1.3173333513084833
unknown,1.3211289182797112
unknown,1.2338557887403216
sst,1.045770133996824
sst,1.1543925252376404
ntsr1,1.421740361267946
sst,1.3822112895279397
ntsr1,1.3901906717905084
sst,0.9381724547042692
sst,1.2029917495691018
pvalb,0.7963853854125782
sst,0.9921116951382593
vip,1.4290807588111814
sst,1.2073230917369182
sst,0.9935964307424848
sst,0.9467093556062156
tlx3,1.6344772329631176
tlx3,1.5131837836974635
tlx3,1.2677455572656362
sst,1.0871024604300454
sst,1.3624107465411313
vip,1.1342017109015383
unknown,1.395002822381134
vip,1.2871183507292578
vip,1.3759982527591528
sst,1.3045891621001815
sst,1.2307322901851991
sim1,1.3733050814741072
sim1,1.491189975649164
unknown,1.161640667404432
ntsr1,1.446763867971602
sim1,1.450611850492518
ntsr1,1.280504159523472
sim1,1.4343558325494796
ntsr1,1.091250639916998
sim1,1.5450246207086504
ntsr1,1.5550421912245884
ntsr1,1.4014338749763795
ntsr1,1.6007020639965166
unknown,1.6525504307623051
pvalb,0.5961118021832936
pvalb,0.8572941686617468
pvalb,0.578719137945837
sst,1.1076862135939456
pvalb,0.8838334067161838
tlx3,1.513276094529992
tlx3,1.5251491544172089
tlx3,1.4359223054402683
sst,1.1996652087971662
unknown,1.3775746247168592
pvalb,0.7887546933051337
unknown,1.3748872530361247
sst,1.415712347874669
sst,1.09661109061497
