graph_seed,state,repeat_1,repeat_2,jaccard
93001,sparse_drive,12,18,0.5238095238095238
93001,sparse_drive,12,19,0.5238095238095238
93001,sparse_drive,13,14,0.5238095238095238
93001,sparse_drive,13,15,0.391304347826087
93001,sparse_drive,13,16,0.391304347826087
93001,sparse_drive,13,17,0.45454545454545453
93001,sparse_drive,13,18,0.4883720930232558
93001,sparse_drive,13,19,0.4883720930232558
93001,sparse_drive,14,15,0.45454545454545453
93001,sparse_drive,14,16,0.391304347826087
93001,sparse_drive,14,17,0.4883720930232558
93001,sparse_drive,14,18,0.4883720930232558
93001,sparse_drive,14,19,0.5238095238095238
93001,sparse_drive,15,16,0.45454545454545453
93001,sparse_drive,15,17,0.4883720930232558
93001,sparse_drive,15,18,0.5609756097560976
93001,sparse_drive,15,19,0.5238095238095238
93001,sparse_drive,16,17,0.4222222222222222
93001,sparse_drive,16,18,0.4222222222222222
93001,sparse_drive,16,19,0.4883720930232558
93001,sparse_drive,17,18,0.7297297297297297
93001,sparse_drive,17,19,0.6842105263157895
93001,sparse_drive,18,19,0.7777777777777778
93001,transition_mid,0,1,0.6
93001,transition_mid,0,2,0.5609756097560976
93001,transition_mid,0,3,0.5609756097560976
93001,transition_mid,0,4,0.5609756097560976
93001,transition_mid,0,5,0.5609756097560976
93001,transition_mid,0,6,0.4222222222222222
93001,transition_mid,0,7,0.5238095238095238
93001,transition_mid,0,8,0.5609756097560976
93001,transition_mid,0,9,0.5238095238095238
93001,transition_mid,0,10,0.6
93001,transition_mid,0,11,0.6410256410256411
93001,transition_mid,0,12,0.6410256410256411
93001,transition_mid,0,13,0.391304347826087
93001,transition_mid,0,14,0.5609756097560976
93001,transition_mid,0,15,0.4883720930232558
93001,transition_mid,0,16,0.391304347826087
93001,transition_mid,0,17,0.4222222222222222
93001,transition_mid,0,18,0.6410256410256411
93001,transition_mid,0,19,0.5238095238095238
93001,transition_mid,1,2,0.5238095238095238
93001,transition_mid,1,3,0.4883720930232558
93001,transition_mid,1,4,0.6410256410256411
93001,transition_mid,1,5,0.6
93001,transition_mid,1,6,0.4883720930232558
93001,transition_mid,1,7,0.6
93001,transition_mid,1,8,0.6
93001,transition_mid,1,9,0.5238095238095238
93001,transition_mid,1,10,0.5238095238095238
93001,transition_mid,1,11,0.6
93001,transition_mid,1,12,0.6
93001,transition_mid,1,13,0.391304347826087
93001,transition_mid,1,14,0.5609756097560976
93001,transition_mid,1,15,0.5238095238095238
93001,transition_mid,1,16,0.4222222222222222
93001,transition_mid,1,17,0.45454545454545453
93001,transition_mid,1,18,0.6842105263157895
93001,transition_mid,1,19,0.6
93001,transition_mid,2,3,0.5238095238095238
93001,transition_mid,2,4,0.5609756097560976
93001,transition_mid,2,5,0.4883720930232558
93001,transition_mid,2,6,0.4222222222222222
93001,transition_mid,2,7,0.5609756097560976
93001,transition_mid,2,8,0.5609756097560976
93001,transition_mid,2,9,0.5238095238095238
93001,transition_mid,2,10,0.5238095238095238
93001,transition_mid,2,11,0.5238095238095238
93001,transition_mid,2,12,0.5609756097560976
93001,transition_mid,2,13,0.391304347826087
93001,transition_mid,2,14,0.5238095238095238
93001,transition_mid,2,15,0.45454545454545453
93001,transition_mid,2,16,0.4222222222222222
93001,transition_mid,2,17,0.4222222222222222
93001,transition_mid,2,18,0.5609756097560976
93001,transition_mid,2,19,0.45454545454545453
93001,transition_mid,3,4,0.4883720930232558
93001,transition_mid,3,5,0.4883720930232558
93001,transition_mid,3,6,0.45454545454545453
93001,transition_mid,3,7,0.45454545454545453
93001,transition_mid,3,8,0.4883720930232558
93001,transition_mid,3,9,0.4222222222222222
93001,transition_mid,3,10,0.5238095238095238
93001,transition_mid,3,11,0.5238095238095238
93001,transition_mid,3,12,0.5238095238095238
93001,transition_mid,3,13,0.4222222222222222
93001,transition_mid,3,14,0.5238095238095238
93001,transition_mid,3,15,0.5238095238095238
93001,transition_mid,3,16,0.391304347826087
93001,transition_mid,3,17,0.4883720930232558
93001,transition_mid,3,18,0.5609756097560976
93001,transition_mid,3,19,0.4883720930232558
93001,transition_mid,4,5,0.5238095238095238
93001,transition_mid,4,6,0.4222222222222222
93001,transition_mid,4,7,0.5609756097560976
93001,transition_mid,4,8,0.6410256410256411
