placement,complexity_fraction,mean,std,n,median,sem,ci95,source_fraction_column,semantic_fraction_name
feedback_hub,0.00390625,0.5298152410343272,0.249014111221918,72,0.48840489791715025,0.029346594442693233,0.05751932510767874,hh_fraction_actual,high-complexity fraction
feedback_hub,0.0078125,0.6677483096723837,0.32086092376580155,72,0.7975024335791594,0.03781382250209636,0.07411509210410887,hh_fraction_actual,high-complexity fraction
feedback_hub,0.015625,0.6791396279948461,0.35349136594246144,72,0.8359402149350859,0.04165935699146832,0.0816523397032779,hh_fraction_actual,high-complexity fraction
feedback_hub,0.03125,0.5621668082817615,0.28930952733184745,72,0.6145356345233866,0.03409545477303736,0.06682709135515323,hh_fraction_actual,high-complexity fraction
feedback_hub,0.0625,0.35199335586348207,0.24496550105766765,120,0.28060380591454237,0.022362188456640033,0.04382988937501446,hh_fraction_actual,high-complexity fraction
feedback_hub,0.09375,0.32255675231893816,0.14977046157029525,48,0.28290081101789777,0.021617504076066118,0.04237030798908959,hh_fraction_actual,high-complexity fraction
feedback_hub,0.125,0.47247629173705213,0.30255002980318874,120,0.4086287524276264,0.02761891268284446,0.05413306885837514,hh_fraction_actual,high-complexity fraction
feedback_hub,0.15625,0.5989279064545062,0.1989999629044337,48,0.6022593491562385,0.028723170537900085,0.05629741425428417,hh_fraction_actual,high-complexity fraction
feedback_hub,0.1875,0.7453436633220211,0.2007137313950328,48,0.7805990228803723,0.028970531712744108,0.05678224215697845,hh_fraction_actual,high-complexity fraction
feedback_hub,0.25,0.9888552282557912,0.04070067448550154,48,0.9999999974250612,0.005874636342600912,0.011514287231497788,hh_fraction_actual,high-complexity fraction
high_degree,0.00390625,0.5162477533288216,0.23080674021967287,72,0.5069700558792571,0.02720083519214876,0.05331363697661157,hh_fraction_actual,high-complexity fraction
high_degree,0.0078125,0.652594523400699,0.3113454116068318,72,0.7505068675717149,0.03669240863975127,0.07191712093391249,hh_fraction_actual,high-complexity fraction
high_degree,0.015625,0.6925068176220462,0.34869688994903386,72,0.8519723034201755,0.04109432257693686,0.08054487225079625,hh_fraction_actual,high-complexity fraction
high_degree,0.03125,0.5589140002974294,0.2879332283403115,72,0.6046295119407108,0.033933256381394813,0.06650918250753383,hh_fraction_actual,high-complexity fraction
high_degree,0.0625,0.36200798839838,0.25372784785619396,120,0.2820015899350079,0.023162077623012704,0.0453976721411049,hh_fraction_actual,high-complexity fraction
high_degree,0.09375,0.3220853926822794,0.16847773696646598,48,0.2728128747527637,0.024317666697512026,0.04766262672712357,hh_fraction_actual,high-complexity fraction
high_degree,0.125,0.4547520463486549,0.2964719855819718,120,0.38747177725603216,0.02706406569526539,0.05304556876272016,hh_fraction_actual,high-complexity fraction
high_degree,0.15625,0.5743201646127521,0.19202129040743726,48,0.5964609837239968,0.027715885926718302,0.05432313641636787,hh_fraction_actual,high-complexity fraction
high_degree,0.1875,0.7489578344148149,0.1851524612694501,48,0.7770791104550259,0.026724455838759695,0.052379933443969004,hh_fraction_actual,high-complexity fraction
high_degree,0.25,0.9830040989933098,0.05066503298097455,48,0.9999999971423716,0.007312867607516731,0.014333220510732794,hh_fraction_actual,high-complexity fraction
module_bridge,0.00390625,0.5181276185131154,0.23018899778489604,72,0.4869986038705332,0.027128033548039197,0.053170945754156825,hh_fraction_actual,high-complexity fraction
module_bridge,0.0078125,0.6292091604913276,0.30345377442372173,72,0.7360388130034432,0.035762370278611094,0.07009424574607774,hh_fraction_actual,high-complexity fraction
