placement,complexity_fraction,mean,std,n,median,sem,ci95
module_bridge,0.0078125,0.040297476689016724,0.03294841374199516,24,0.02117329132667975,0.006725566791832789,0.013182110911992267
module_bridge,0.015625,0.022668962607542992,0.015699211339628198,24,0.0164661450210491,0.0032045880955170526,0.0062809926672134225
module_bridge,0.03125,0.03521966414633353,0.02041977873175431,24,0.02990621396654375,0.0041681698794445235,0.008169612963711267
module_bridge,0.0625,0.11492246604751799,0.06291710356856126,24,0.1375457776587499,0.012842899986401476,0.02517208397334689
module_bridge,0.09375,0.1896706911465256,0.09926604027367679,24,0.20147203664198104,0.020262595621422765,0.03971468741798862
module_bridge,0.125,0.25366993658357545,0.14183314161042926,24,0.25847182115350165,0.028951568796788372,0.056745074841705205
module_bridge,0.15625,0.2865604533075338,0.16270374397809018,24,0.2887588793971225,0.03321176266556268,0.06509505482450285
module_bridge,0.1875,0.30991013738446754,0.17120045575722506,24,0.3014875237542158,0.03494614669476068,0.06849444752173092
module_bridge,0.25,0.36042880007392464,0.16745382582815618,24,0.3926068596274393,0.03418136906298912,0.06699548336345867
module_bridge,0.375,0.3668028951930544,0.1379799926603185,24,0.41889990456168535,0.028165048060895696,0.055203494199355566
module_bridge,0.5,0.39770630921247935,0.13878941382768187,24,0.40191932441338396,0.028330270464816378,0.0555273301110401
module_bridge,0.75,0.46739239568165886,0.17472930573665718,24,0.4462540799835461,0.035666470180463976,0.06990628155370938
random,0.00390625,0.05178235610708525,0.017627089868551,24,0.0519895097741412,0.003598114652344413,0.0070523047185950495
random,0.0078125,0.056409855076818775,0.022411320901502604,24,0.05952558158043665,0.00457469172253774,0.00896639577617397
random,0.015625,0.06067545589783241,0.03690626023507768,24,0.04922735041179485,0.007533458824192456,0.014765579295417214
random,0.03125,0.03276948023916439,0.021856059059231533,24,0.02451915260809805,0.00446134937360425,0.008744244772264329
random,0.0625,0.027333376594702686,0.021723833722423914,24,0.01975859685036405,0.00443435898975039,0.008691343619910766
random,0.09375,0.04536494508468188,0.04829269796390647,24,0.0240949402058133,0.009857705692826249,0.01932110315793945
random,0.125,0.06912206774361902,0.07030718994052947,24,0.04077534632181325,0.014351395050269632,0.02812873429852848
random,0.15625,0.08845055151774665,0.08218328874501196,24,0.057849501665679495,0.016775593567424585,0.03288016339215218
random,0.1875,0.12453999846871816,0.10667773033198652,24,0.08948032450215171,0.021775500519299242,0.04267998101782652
random,0.25,0.1870515286251656,0.1565903832247939,24,0.1406882812094458,0.03196387812730164,0.06264920112951122
random,0.375,0.29624587702607014,0.2103308056462147,24,0.25492939673805565,0.04293359591847709,0.08414984800021509
random,0.5,0.36181136380490503,0.2181593364452388,24,0.3556084826287228,0.04453158807624974,0.08728191262944948
random,0.75,0.39752453713145225,0.15327552176936024,24,0.4702235100179629,0.03128723486614897,0.061322980337651975
spectral,0.00390625,0.04371903871507913,0.022333099563363323,24,0.04006960995899975,0.0045587248587511614,0.008935100723152276
spectral,0.0078125,0.03985134359435597,0.029909772877234533,24,0.02630005279531345,0.006105306822646708,0.011966401372387548
spectral,0.015625,0.022325107217005608,0.01393874715215408,24,0.0170811150382235,0.0028452348480374717,0.005576660302153444
spectral,0.03125,0.03532715019976664,0.019917802318599593,24,0.0268943768043769,0.004065704373182726,0.007968780571438143
spectral,0.0625,0.1268835654630032,0.06772657003191729,24,0.12336618603653976,0.013824628217255665,0.027096271305821103
spectral,0.09375,0.19544947736747767,0.09753322991198606,24,0.1912738988361202,0.01990888718749361,0.039021418887487475
spectral,0.125,0.25613254565881277,0.14582303421837867,24,0.2402784150754832,0.029766002214953246,0.05834136434130836
spectral,0.15625,0.3065320133287446,0.15330122445522176,24,0.31430038054589027,0.03129248140493062,0.061333263553664016
spectral,0.1875,0.33789121004292255,0.17058143375818463,24,0.3336438852442405,0.03481978935832679,0.0682467871423205
spectral,0.25,0.3768764194294935,0.1597036712038153,24,0.4101613407918566,0.03259937537488023,0.06389477573476525
spectral,0.375,0.3841525475583089,0.13048950502917075,24,0.4222986611321201,0.02663605867581731,0.052206675004601924
spectral,0.5,0.43483935872027263,0.1279667356136062,24,0.4409406771354209,0.026121100525247933,0.05119735702948595
spectral,0.75,0.47510343051012094,0.16083653782362725,24,0.45867464947125475,0.032830620805311135,0.06434801677840982
